term,weight,tagged
jack,0.023979422514355163,NN
man,0.015748814304318615,NN
king,0.013572147392090674,NN
mr,0.012828648802461515,NN
time,0.012360941070030211,NN
pig,0.012324605502459287,NN
till,0.01136028902862244,NN
day,0.010822973018395977,NN
woman,0.01077194353494919,NN
mother,0.010499784390175368,NN
mouse,0.010324069051332823,NN
ill,0.010212614315924472,NN
house,0.009918951846344445,NN
lady,0.009677620460767474,NN
cat,0.009529894727459768,NN
door,0.009511547853683733,NN
giant,0.009241676157069926,NN
head,0.009187786075597308,NN
girl,0.00877261649548492,NN
ye,0.008413957577936395,NN
sat,0.008289500633139733,NN
home,0.008228421661019943,NN
bear,0.008130450912689297,NN
dear,0.008073975405855416,NN
night,0.007787531288405004,NN
boy,0.007718038606473605,NN
love,0.007670821514692361,NN
saw,0.007579311904229134,NN
father,0.007473139325258067,NN
wife,0.007280541216845784,NN
cap,0.007212783901297517,NN
rush,0.007089914372927447,NN
ran,0.007066650604672732,NN
brother,0.007025505687415423,NN
master,0.006932043491761307,NN
son,0.006911874511624174,NN
told,0.006796292470105455,NN
wont,0.0066713936191745375,NN
hand,0.006543295742950748,NN
castle,0.006520928541339221,NN
fox,0.006485126573032295,NN
queen,0.006418714250552494,NN
world,0.006315827720628707,NN
end,0.006268475445786176,NN
morning,0.006236748238786595,NN
heard,0.006219423062373083,NN
fortune,0.0062134265202426564,NN
oh,0.0061529492627446225,NN
stick,0.006114774779917217,NN
heart,0.006061063403362698,NN
