term,weight,tagged
king,0.02256560535768325,NN
prince,0.018434765306310896,NN
son,0.015671015526639284,NN
day,0.011587899174252134,NN
princess,0.010539423542903164,NN
father,0.009288572832317028,NN
man,0.009175077351342237,NN
raja,0.009158880280848393,NN
country,0.008571644513860001,NN
time,0.00849727715824129,NN
illustration,0.008011786624382683,NN
daughter,0.007653105069632299,NN
mother,0.007281236402778682,NN
majnun,0.007104500173809146,NN
told,0.006986629388662873,NN
horse,0.006786938157790162,NN
saw,0.006769339074693152,NN
thought,0.006722057031272112,NN
wife,0.00669731973555921,NN
woman,0.006657139590519261,NN
palace,0.006638400051524085,NN
beautiful,0.006577325102185853,NN
house,0.006372519440757936,NN
way,0.006290130465264908,NN
water,0.006148963600433253,NN
eat,0.00579714570901402,NN
dog,0.005560364132813824,NN
queen,0.005503669192976247,NN
tiger,0.005275113307793196,NN
fakir,0.0052748854112932165,NN
year,0.005253766640909931,NN
child,0.005244463661456098,NN
oh,0.005201612213380813,NN
home,0.00519781057977063,NN
husband,0.005062808202417311,NN
marry,0.005044354086867761,NN
tell,0.004963240072249672,NN
heard,0.004960110263660181,NN
life,0.004950626868673155,NN
laili,0.004863452021110053,NN
night,0.004844729823374635,NN
vizier,0.0048298983243006835,NN
hand,0.0048283174175264894,NN
brought,0.004767588349535754,NN
place,0.0047028609294515935,NN
boy,0.00466757223183774,NN
want,0.004588056535976387,NN
brother,0.004508157042275985,NN
servant,0.004500787687499925,NN
kill,0.004493733985396956,NN
