word,AoA
a,2.0
A,8.0
aardvark,14.0
ab,12.0
abaca,14.0
aback,12.0
abacus,10.0
abaft,14.0
abalone,14.0
abandon,6.0
abandoned,2.0
abase,14.0
abasement,14.0
abash,14.0
abashed,12.0
abate,12.0
abated,14.0
abatement,14.0
abattoir,14.0
abba,14.0
abbacy,12.0
abbe,14.0
abbess,14.0
abbey,8.0
abbot,10.0
abbreviate,4.0
abbreviation,4.0
abdicate,10.0
abdication,12.0
abdomen,6.0
abdominal,6.0
abduct,10.0
abduction,10.0
abeam,14.0
abecedarian,14.0
abed,12.0
abegging,13.0
aberrant,14.0
aberration,14.0
abert,14.0
abet,13.0
abettor,14.0
abeyance,14.0
abhor,10.0
abhorrent,12.0
abide,8.0
abiding,12.0
ability,2.0
abiogenesis,13.0
abiotic,14.0
abject,14.0
abjure,13.0
ablation,14.0
ablative,13.0
ablaut,14.0
ablaze,2.0
able,2.0
abloom,6.0
ablution,14.0
ably,8.0
abnegation,14.0
abnormal,6.0
aboard,4.0
abode,12.0
aboil,13.0
abolish,6.0
abolition,8.0
abolitionist,8.0
abomasum,14.0
abominable,12.0
abominate,13.0
abomination,12.0
aboriginal,14.0
aborigines,12.0
abort,12.0
abortion,8.0
abortive,14.0
abound,12.0
about,2.0
above,2.0
aboveboard,13.0
abracadabra,10.0
abrade,14.0
abrasion,14.0
abrasive,12.0
abreaction,14.0
abreast,13.0
abridge,12.0
abridgment,10.0
abroad,4.0
abrogate,14.0
abrupt,8.0
abruption,14.0
abscess,8.0
abscind,12.0
abscissa,14.0
abscond,14.0
absence,4.0
absent,2.0
absentee,6.0
absently,10.0
absinthe,14.0
absolute,8.0
absolutely,6.0
absolution,14.0
absolutism,12.0
absolve,14.0
absorb,6.0
absorbed,6.0
absorbent,6.0
absorbing,6.0
absorption,6.0
abstain,12.0
abstemious,14.0
abstention,13.0
abstinence,14.0
abstract,8.0
abstracted,14.0
abstractedly,13.0
abstraction,12.0
abstractionism,14.0
abstruse,13.0
absurd,8.0
absurdity,10.0
abuilding,13.0
abundance,8.0
abundant,8.0
abundantly,8.0
abuse,6.0
abusive,8.0
abut,14.0
abutment,14.0
abuzz,10.0
abysm,14.0
abysmal,14.0
abyss,12.0
acacia,14.0
academe,12.0
academic,10.0
academician,10.0
academy,6.0
acanthus,12.0
acarology,14.0
acaudal,13.0
accede,14.0
accelerate,6.0
acceleration,6.0
accelerator,6.0
accent,6.0
accentuate,12.0
accept,2.0
acceptable,8.0
acceptance,8.0
acceptation,14.0
access,10.0
accessible,10.0
accession,14.0
accessory,6.0
acciaccatura,14.0
accidence,14.0
accident,2.0
accidental,4.0
accipiter,14.0
acclaim,13.0
acclamation,13.0
acclimated,12.0
acclimatize,14.0
acclivity,13.0
accolade,14.0
accommodate,6.0
accommodating,10.0
accommodation,8.0
accompaniment,8.0
accompanist,6.0
accompany,6.0
accomplice,8.0
accomplish,6.0
accomplished,6.0
accomplishment,6.0
accord,10.0
accordance,8.0
according,10.0
accordingly,12.0
accordion,4.0
accost,12.0
accouchement,14.0
account,2.0
accountability,12.0
accountable,6.0
accountancy,8.0
accountant,4.0
accounting,6.0
accouter,14.0
accouterments,14.0
accredit,12.0
accredited,12.0
accrete,12.0
accretion,12.0
accrual,14.0
accrue,14.0
acculturate,14.0
accumulate,6.0
accumulation,8.0
accumulator,12.0
accuracy,8.0
accurate,8.0
accursed,8.0
accusation,8.0
accusative,14.0
accuse,4.0
accuser,4.0
accustom,4.0
accustomed,4.0
ace,6.0
acentric,14.0
acephalous,14.0
acerb,14.0
acerbate,14.0
acerbity,14.0
acetaldehyde,14.0
acetanilide,12.0
acetate,13.0
acetic,13.0
acetone,13.0
acetylene,12.0
ach,6.0
ache,2.0
achene,12.0
achieve,4.0
achievement,6.0
achoo,2.0
achromatic,14.0
achy,4.0
acid,2.0
acidity,12.0
acidophilus,14.0
acidosis,12.0
acidulate,12.0
ackee,12.0
acknowledge,8.0
acknowledgment,10.0
acme,10.0
acne,6.0
acolyte,14.0
aconite,14.0
acorn,2.0
acotyledon,14.0
acoustic,10.0
acoustics,12.0
acquaint,6.0
acquaintance,8.0
acquainted,4.0
acquiesce,14.0
acquiescence,14.0
acquire,6.0
acquirement,10.0
acquisition,12.0
acquisitive,14.0
acquit,10.0
acquittal,10.0
acre,4.0
acreage,8.0
acrid,13.0
Acrilan,10.0
acrimonious,14.0
acrimony,14.0
acrobat,4.0
acrobatic,2.0
acrobatics,6.0
acromegaly,14.0
acronym,14.0
acrophobe,12.0
acrophobia,14.0
acropolis,12.0
Acropolis,12.0
across,2.0
acrostic,14.0
acrylic,13.0
act,2.0
acted,10.0
ACTH,14.0
acting,2.0
actinic,14.0
actinium,14.0
action,2.0
actionable,14.0
activate,6.0
active,4.0
activist,12.0
activity,8.0
actor,2.0
actress,2.0
actual,4.0
actuality,8.0
actually,6.0
actuary,14.0
actuate,12.0
acuity,13.0
acumen,14.0
acupuncture,8.0
acute,6.0
acuteness,10.0
ad,6.0
adage,14.0
adagio,12.0
adamant,12.0
adamantine,14.0
adapt,8.0
adaptability,4.0
adaptable,8.0
adaptation,8.0
adapter,10.0
adaption,8.0
adaptive,12.0
add,2.0
addax,14.0
addend,14.0
addendum,14.0
adder,2.0
addict,10.0
addicted,8.0
addition,2.0
additional,8.0
additive,10.0
addle,14.0
addled,12.0
addlepated,12.0
address,2.0
addressee,4.0
adduce,14.0
adduct,14.0
ade,8.0
adenoids,6.0
adenoma,14.0
adept,14.0
adequacy,8.0
adequate,8.0
adequately,10.0
adhere,12.0
adherence,13.0
adherent,14.0
adhesion,12.0
adhesive,6.0
adiabatic,14.0
adieu,10.0
adios,6.0
adipose,14.0
adit,14.0
adither,14.0
adjacent,10.0
adjective,4.0
adjoins,8.0
adjourn,6.0
adjournment,8.0
adjudge,14.0
adjudicate,14.0
adjudicator,14.0
adjunct,14.0
adjuration,14.0
adjure,14.0
adjust,2.0
adjustable,4.0
adjuster,6.0
adjustment,2.0
adjutant,14.0
adjuvant,14.0
administer,8.0
administration,6.0
administrative,8.0
administrator,6.0
admirable,6.0
admirably,10.0
admiral,4.0
admiralty,13.0
admiration,6.0
admire,2.0
admirer,4.0
admiringly,2.0
admissible,8.0
admission,2.0
admit,4.0
admittance,8.0
admixture,14.0
admonish,13.0
admonition,13.0
admonitory,14.0
ado,14.0
adobe,4.0
adolescence,10.0
adolescent,8.0
adopt,4.0
adoption,4.0
adorable,4.0
adoration,8.0
adore,2.0
adorn,10.0
adornment,10.0
adown,12.0
adrenal,14.0
adrenalin,12.0
adrift,6.0
adroit,14.0
adsorb,12.0
adsorption,12.0
adsum,14.0
adulate,12.0
adulation,14.0
adulatory,14.0
adult,2.0
adulterate,12.0
adulteration,12.0
adulterer,12.0
adulteress,10.0
adultery,10.0
adulthood,2.0
adumbrate,14.0
adumbration,14.0
advance,4.0
advanced,4.0
advancement,6.0
advances,10.0
advantage,8.0
advantageous,6.0
Advent,10.0
advent,10.0
adventitious,14.0
adventive,14.0
adventure,2.0
adventurer,6.0
adventuress,10.0
adventurous,6.0
adverb,6.0
adversary,13.0
adverse,12.0
adversity,14.0
advert,14.0
advertise,2.0
advertisement,4.0
advertiser,8.0
advice,2.0
advisability,10.0
advisable,6.0
advise,4.0
advisedly,12.0
advisement,14.0
adviser,6.0
advisory,6.0
advocacy,14.0
advocate,12.0
adz,14.0
adze,14.0
aedes,14.0
aedile,14.0
aegis,14.0
aeon,12.0
aerate,13.0
aerial,6.0
aerialist,12.0
aerie,12.0
aerobe,14.0
aerodynamics,10.0
aerolite,14.0
aerolith,12.0
aeronaut,12.0
aeronautics,8.0
aerosol,6.0
aerospace,12.0
aerostat,14.0
aesthete,13.0
aesthetic,12.0
aesthetics,13.0
aestival,14.0
afar,4.0
afeared,2.0
affability,14.0
affable,13.0
affair,8.0
affect,6.0
affectation,12.0
affected,13.0
affecting,10.0
affection,6.0
affectionate,6.0
affectionately,8.0
afferent,13.0
affiance,14.0
affidavit,10.0
affiliate,12.0
affiliation,10.0
affinity,14.0
affirm,10.0
affirmation,10.0
affirmative,10.0
affix,10.0
afflatus,14.0
afflict,12.0
afflicted,8.0
affliction,10.0
affluence,13.0
affluent,14.0
afflux,14.0
afford,2.0
affordable,2.0
afforest,13.0
affray,13.0
affright,13.0
affront,14.0
afghan,13.0
Afghan,14.0
afield,10.0
afire,2.0
aflame,4.0
afloat,2.0
aflutter,10.0
afoot,13.0
afore,10.0
aforementioned,8.0
aforesaid,13.0
aforethought,12.0
aforetime,10.0
afoul,14.0
afraid,2.0
afresh,14.0
Africa,4.0
African,4.0
Afro,8.0
aft,12.0
after,2.0
afterbirth,10.0
afterburner,14.0
afterdamp,14.0
afterdeck,10.0
aftereffect,12.0
afterglow,13.0
afterimage,13.0
aftermath,12.0
aftermost,10.0
afternoon,2.0
afterthought,2.0
afterwards,2.0
afterword,4.0
again,2.0
against,2.0
agape,10.0
agar,14.0
agaric,14.0
agate,14.0
agave,14.0
agaze,13.0
age,2.0
aged,2.0
ageless,8.0
agelong,13.0
agency,6.0
agenda,10.0
agent,6.0
ageratum,14.0
ages,6.0
agglomerate,14.0
agglomeration,13.0
agglutinate,14.0
agglutinative,14.0
aggrade,14.0
aggrandize,14.0
aggrandizement,14.0
aggravate,10.0
aggravation,10.0
aggregate,14.0
aggregation,13.0
aggress,10.0
aggression,10.0
aggressive,6.0
aggressor,10.0
aggrieved,10.0
aghast,10.0
agile,12.0
agility,10.0
aging,6.0
agitate,10.0
agitation,10.0
agitator,8.0
agleam,10.0
aglet,14.0
agley,14.0
aglitter,10.0
aglow,6.0
agnostic,14.0
agnosticism,14.0
ago,2.0
agog,14.0
agone,10.0
agonic,14.0
agonize,8.0
agony,8.0
agora,14.0
agoraphobe,12.0
agoraphobia,14.0
agouti,14.0
agrarian,12.0
agree,2.0
agreeable,6.0
agreement,2.0
agribusiness,14.0
agricultural,4.0
agriculture,4.0
agriculturist,6.0
agril,14.0
agronomist,14.0
agronomy,14.0
aground,4.0
agrypnotic,14.0
ague,14.0
ah,4.0
aha,6.0
ahead,2.0
ahem,8.0
ahoy,2.0
ai,14.0
aid,2.0
aide,10.0
aigrette,14.0
aigu,14.0
ail,6.0
aileron,10.0
ailment,6.0
aim,2.0
aimless,8.0
air,2.0
airborne,6.0
aircraft,4.0
airdrome,14.0
Airedale,10.0
airfield,2.0
airfoil,12.0
airier,6.0
airily,12.0
airiness,8.0
airing,2.0
airlift,10.0
airline,2.0
airman,4.0
airplane,2.0
airport,2.0
airship,13.0
airsick,2.0
airstrip,6.0
airtight,6.0
airway,2.0
airworthy,8.0
airy,2.0
aisle,6.0
ait,14.0
ajar,6.0
akimbo,14.0
akin,12.0
alabamine,14.0
alabaster,13.0
alack,14.0
alackaday,12.0
alacrity,13.0
alar,14.0
alarm,2.0
alarming,6.0
alarmist,13.0
alarum,14.0
alas,10.0
alate,14.0
alb,14.0
albacore,14.0
albatross,12.0
albedo,14.0
albeit,14.0
albinism,12.0
albino,10.0
album,2.0
albumen,13.0
albumin,12.0
alburnum,14.0
alcalde,14.0
alcazar,14.0
alchemist,12.0
alchemy,13.0
alcohol,4.0
alcoholic,2.0
alcoholism,4.0
alcove,12.0
aldehyde,12.0
alder,14.0
alderman,10.0
ale,6.0
aleatory,14.0
alee,14.0
alehouse,12.0
alembic,13.0
alert,4.0
alertness,6.0
alewife,14.0
alexia,14.0
alfalfa,6.0
alga,12.0
algae,13.0
algebra,6.0
algebraic,6.0
algorism,14.0
algorithm,13.0
alias,10.0
alibi,6.0
alien,10.0
alienate,14.0
alienation,14.0
alienist,14.0
alight,12.0
align,13.0
alignment,10.0
alike,2.0
aliment,14.0
alimentary,13.0
alimony,8.0
aline,10.0
aliquant,14.0
aliquot,14.0
alive,2.0
alkali,10.0
alkaline,8.0
alkalize,10.0
alkaloid,14.0
all,2.0
Allah,8.0
allay,14.0
allegation,12.0
allege,13.0
allegedly,12.0
allegiance,6.0
allegorical,14.0
allegory,12.0
allegretto,13.0
allegro,12.0
allele,14.0
alleluia,12.0
allergic,6.0
allergy,6.0
alleviate,12.0
alley,2.0
alleyway,8.0
alliance,8.0
allied,10.0
allies,12.0
alligator,2.0
alliteration,10.0
alliterative,13.0
allocate,13.0
allot,12.0
allotment,10.0
allotropic,14.0
allow,2.0
allowable,2.0
