term,weight
anne,0.028259149204933273
marilla,0.02202104584681783
mr,0.014929882468553856
diana,0.01303667899081762
matthew,0.012337250208175644
im,0.011446666998621118
think,0.011294882620762496
dont,0.011089413989756044
thing,0.009670219018537863
oh,0.009285169402551658
girl,0.009046850059883708
time,0.007673723741378835
thought,0.006424492976924333
look,0.00619484760974749
ill,0.005837266773506187
tell,0.005799828315787144
home,0.005643206562822675
eye,0.005514830589125122
child,0.005479390155801708
school,0.0054762270893874455
didnt,0.005323244716928515
miss,0.005200748749911144
lynde,0.005122339967707307
id,0.004903808461976602
right,0.004893614348982784
isnt,0.004867251941202913
night,0.004824861557185368
barry,0.004540587910546752
day,0.0045167072221716205
told,0.004468774041040329
gilbert,0.00443973376675499
suppose,0.0043775396138552415
feel,0.0043771030594515845
hand,0.00434084653332676
want,0.004333161862227812
hair,0.004248110128451907
felt,0.004227295276299096
head,0.003959374555710361
way,0.003958565187104067
life,0.003917308240172399
rachel,0.0039008542685219786
year,0.003832807348701237
face,0.0037972861059873855
wont,0.00379681018318572
avonlea,0.0037058758380258466
imagine,0.0036932313484521863
heart,0.003685029259706723
room,0.0036711807900056542
mind,0.003625376010339543
youll,0.0036003942011520454
course,0.0035192560750602203
jane,0.0034981267720170335
wouldnt,0.003461680393721503
ruby,0.003325223448598369
bed,0.003317796116372278
morning,0.003302293510318488
sure,0.003222223729535239
boy,0.003207643944391642
word,0.003206633649257788
love,0.0031864586648174334
allan,0.0031486562839455885
glad,0.003147826961561646
friend,0.00308928932152971
youre,0.003088188197575653
mean,0.0030554307754307856
stay,0.0030233507333064626
afternoon,0.0030170525451731207
place,0.0029913340676193264
imagination,0.002945830918774481
saw,0.0029037958842894223
world,0.0028133342953023193
dress,0.002802957825118355
josie,0.002791305862897433
kind,0.002772366608842526
cuthbert,0.0027370846877832968
house,0.0027335737853943325
minister,0.0027287602557135634
wood,0.0026744352624484616
window,0.002623734970324495
youve,0.002591621408719777
talk,0.0025894536404116437
wasnt,0.002540133028450049
tea,0.0025076748576326096
stacy,0.0025000202627649556
hope,0.0024889885614601355
sorry,0.002477571023826738
set,0.002437360966618927
road,0.002405480927837818
guess,0.0024006369846789784
shirley,0.0023747113304338147
tear,0.002371545504160412
splendid,0.002311354477152542
blythe,0.0022990808295507642
heard,0.0022935118617410607
help,0.0022740397397973894
matter,0.002245123114043862
woman,0.0021834097576832892
minute,0.002180706613479636
class,0.00217952520108355
book,0.002177103500562232
