term,weight
mr,0.01277558502832123
sir,0.012769968191379598
bud,0.01201375627710053
thing,0.012006211097842744
time,0.01191751503603122
right,0.011000912995468367
dont,0.010192966824314451
momma,0.010095998819547338
man,0.0097658714897901
didnt,0.009765107214244154
hand,0.00963683968948801
tell,0.0091177663139782
id,0.009076778846288163
door,0.008998964605315674
herman,0.00896476375163466
calloway,0.00846315996252556
miss,0.00833261856750471
way,0.007868131815750893
look,0.007794651272316266
maam,0.0076252583207788065
thomas,0.007080738284730544
think,0.007071269529543679
im,0.00699578034537296
youre,0.006606245872507755
head,0.006435238034367597
lewis,0.006213467292352803
jimmy,0.006160107357119394
eye,0.006151197548899898
bug,0.006035871062292019
suitcase,0.005940272738173797
lot,0.005938296772725756
wasnt,0.005924303568896
flint,0.005915602883409905
boy,0.005799797734098987
kind,0.0056101839221920574
folk,0.005369424953857838
lefty,0.005157871420388651
car,0.005087036303017581
kid,0.005080659383028872
table,0.005039150399604656
sure,0.004736469422902034
picture,0.004709154061780753
cause,0.004691284555467336
year,0.00465767918765305
home,0.004608661749724369
sound,0.004403140701929839
room,0.004375344902211975
told,0.00436453356042443
hear,0.004316443476291054
mean,0.004301907461841652
ok,0.004287912476418167
mother,0.004267506264037478
daddy,0.004197619524252503
iâll,0.004162697528742064
kept,0.0041597470629378365
face,0.004145662655322178
eddie,0.0041364647173064905
father,0.00413401769524229
mouth,0.004078631194210255
chapter,0.0040770101925254815
shuck,0.00404198308172551
bed,0.004013582901217546
todd,0.0039321225504529034
rock,0.0039301413690714555
thank,0.0038533076120417934
thought,0.0038488424957876526
band,0.0038479869142642583
train,0.003836677924310237
number,0.0037601662315766057
heard,0.0037028549638646975
want,0.0034694834455433446
night,0.0034537714422319507
talk,0.003411194258963255
thug,0.003407390214476037
left,0.0033448752065833908
couple,0.0033025083259261606
sleep,0.003280636384111562
rule,0.0032623774616201457
woman,0.0032596140584844058
theyd,0.003213567474213789
guy,0.0031450121557384998
help,0.003083388640971956
stuck,0.003075200337257131
saw,0.0030702564032242846
paper,0.0030695310246871875
morning,0.0030636501573991894
uhoh,0.003062024448891148
book,0.00304381232621026
cop,0.003008859891413631
buddy,0.002990498692380033
day,0.0029712081965907293
word,0.002971044731105073
box,0.0029632181724477485
doggone,0.0029519739339628113
life,0.002946740145773369
blanket,0.0029266845849856425
baby,0.0028863253920725467
girl,0.0028523414566515777
set,0.002815508619236536
need,0.002810567684498891
