term,weight
rock,0.017554266223720482
time,0.016832366925674178
day,0.015377999685677714
sea,0.015195476408143902
cave,0.015015035388210906
water,0.014844541684806192
canoe,0.0146845978560483
island,0.013002754447259485
ship,0.012721245928827502
dog,0.012431780528122093
night,0.012402586017981464
rontu,0.012018311235639888
left,0.011669846699038177
aleut,0.011450196536184948
place,0.011424245989517192
sun,0.011050631953528789
cliff,0.010768523475827978
spear,0.010286525130620738
wave,0.00997144840470865
fish,0.009754944654527961
spring,0.009459760667890395
head,0.009325414067015954
thought,0.00909307319546218
father,0.008968927609245109
cove,0.008384824124777637
house,0.00834839756299169
stood,0.008207607690031416
morning,0.008191585905385075
wind,0.008165605469756646
way,0.008137313744648924
otter,0.008004189176380141
saw,0.007955581628434192
shore,0.00745457717761734
eye,0.007408604415847972
hand,0.007217429137932347
headland,0.006957856237460735
thing,0.006901359344883698
food,0.006870714836394963
beach,0.00663454429893739
arrow,0.006593640562623474
ramo,0.006465927514191954
wild,0.0064640109870008474
ravine,0.006378389458743244
village,0.0062670933522442854
brush,0.00619308833374443
basket,0.006138036384017332
lay,0.0060866882735475004
fence,0.006005397628578975
abalone,0.005994283315999784
look,0.005933018682310339
foot,0.005804654951723798
reef,0.005803177453687083
sound,0.0057700976508385585
kelp,0.005542203156947221
summer,0.005291686826755424
tide,0.005164955160836361
sand,0.005138974701676798
winter,0.005106781252076544
trail,0.005102065175560801
stone,0.00505198345641713
arm,0.004980212490132288
hunter,0.004945149236117748
held,0.004826557021982224
ledge,0.004811499114250241
gull,0.004808758612788357
ran,0.0047387799608693704
mouth,0.004680857245344632
light,0.004633768517254885
pack,0.004601873426427422
ulape,0.004597759918586717
dawn,0.004558375840561328
blue,0.004549601403308636
storm,0.004521531104757607
bull,0.004502919447491349
weapon,0.0043444709634939144
bow,0.0042209139908043
chest,0.004218049947689115
south,0.004202581174784426
shell,0.004160187711431229
hear,0.004157629407308871
word,0.00411032495244086
ghalasat,0.004094331558361552
end,0.004092619807062533
opening,0.004031137976447915
captain,0.004021462555586216
string,0.004011633344680655
sleep,0.003908884579104092
skirt,0.003898587576541862
return,0.003890674459040951
brought,0.003855885281916282
man,0.0038390302932641233
devilfish,0.003832267358148281
felt,0.003809633785528013
think,0.003798036443194397
deep,0.003796786257179769
dolphin,0.0037888780136318616
woman,0.003759003137551297
hill,0.0037142555531660174
orlov,0.003704418488701734
camp,0.003686669102334676
