term,weight
matt,0.04798660527871799
attean,0.044312303110451624
chapter,0.02734839476813316
man,0.018679012578362877
father,0.016431370695867416
boy,0.015657371057786095
dog,0.01562923604295885
time,0.015381461313106571
day,0.01291594421902401
crusoe,0.012281281846815944
cabin,0.012059387261497446
thought,0.011869392583440806
way,0.011669009110123528
saknis,0.011586859567052679
robinson,0.011159866388543518
fish,0.01052444749039338
word,0.010325296424852652
tell,0.009814219667648326
hunt,0.009795669068735524
grandfather,0.009494587987062389
thing,0.00932038187581349
hand,0.009273140052614499
morning,0.008643495651730622
eye,0.00853995669881991
read,0.008323841835888458
sign,0.00831482277726841
beaver,0.007985164601332508
tree,0.007968852322161862
book,0.007861612991612428
arm,0.007566446563628517
bear,0.00731692894092396
mean,0.007298335570945949
felt,0.006725243979713396
understand,0.00669858993882457
trap,0.006683687415101105
head,0.006643819789306199
wood,0.006596537137984924
story,0.006472677464508771
face,0.006260039779336854
didnt,0.006227775736322813
stood,0.006174913070131041
need,0.006101835549358855
forest,0.006099851009510146
set,0.006072091162522018
mother,0.006006552121658513
saw,0.005971199395436796
girl,0.005855287278459666
water,0.005805330563892563
think,0.005728556332388412
door,0.005649186034778125
stick,0.005628971175805641
told,0.005400701554298294
brought,0.005295361144726627
rabbit,0.005266152953719737
want,0.005256340846907457
moment,0.005251554201606678
manitou,0.005244952476914912
animal,0.005190684199070462
foot,0.005182145315439188
answer,0.0051080172691794126
grandmother,0.005099297096159615
ben,0.0050992748754025
table,0.005078801275363027
held,0.004996097646017777
sure,0.004863491923855304
dont,0.004849781897931965
heard,0.0047248987012795856
ground,0.0047014887251882265
right,0.004650821879492275
work,0.004636245945597541
gun,0.004626694370406148
family,0.004608694334864569
learn,0.004588767185802256
youre,0.004569427111496794
wouldnt,0.004559314652462748
corn,0.004551837366513331
left,0.0045513530619806595
speak,0.004535965519617405
gift,0.004530152873568355
sat,0.0044764532547176186
hook,0.004380796420965328
teach,0.004352026064153543
mighty,0.0043450625253665075
wasnt,0.004318180790330476
bow,0.004311601328177425
bank,0.004272504128885489
river,0.004199233692676791
land,0.004195784087230537
line,0.004174979246187134
bone,0.004153162675441879
cut,0.004148958278363643
end,0.004140965948510782
stay,0.004128174532090069
rifle,0.004125135234735674
hunter,0.004101687937926426
night,0.004084522753625291
till,0.004051464866139079
wait,0.0040204844989564096
squaw,0.003992939873075822
im,0.003967027399038226
