term,weight
boy,0.0447210529914232
sounder,0.02526735346752512
father,0.02171260783575957
mother,0.021489066920776637
cabin,0.020034239252432664
child,0.019970659708905682
man,0.015522338197799227
door,0.014438324504030273
road,0.012724471747407672
thought,0.012545529344592484
dog,0.012219374756635497
time,0.01145819287502559
porch,0.011332054719946536
stove,0.01081209231594417
home,0.010069927474924918
hand,0.00981333636981082
day,0.009338413529867596
head,0.009064995485908464
night,0.00856524539310208
wood,0.008505509945726008
book,0.008266581417648014
dont,0.008078067804652245
read,0.008065379017819924
eye,0.007758195325064462
cold,0.007708719923099286
lantern,0.007697621650904606
stood,0.007674986252700833
aint,0.007571199839849669
way,0.007556379281042322
story,0.007390236539242336
house,0.007339226223586086
told,0.007112301919272967
heard,0.007062058736745433
wind,0.006927410091482425
walk,0.006858209915791565
woman,0.00675577659355701
field,0.006755242231114748
lord,0.0067522709088576
window,0.006738390790125468
wouldnt,0.006381113651460878
felt,0.006372499236628135
word,0.0063172214721151625
finger,0.006260149118976658
jail,0.006199551287735767
didnt,0.006183973568279744
hurt,0.006062699977053026
floor,0.006057105964293637
body,0.006051943807853338
voice,0.005972085484675922
wagon,0.005868607807827218
iron,0.005771358042290366
school,0.005736921551596187
town,0.00572037419124394
sat,0.0057047525639509515
water,0.005680989223091619
edge,0.005639212942239039
tell,0.00562899052472246
earth,0.00550802346308118
sack,0.005487273709319036
dark,0.0053948596608470265
possum,0.00534500536592687
light,0.0052841981280951885
year,0.0052773090080992435
look,0.005230780601986564
foot,0.005155455184584215
ill,0.0049935572473953855
held,0.004891528161752143
tree,0.0048168800511635464
face,0.00471938796346508
wasnt,0.0046714407860464205
wall,0.004660346611731153
warm,0.00464882326590905
pan,0.004572828498218363
bed,0.0045249722755661415
want,0.004521867191932552
box,0.004516389465281248
wont,0.004478294433352046
gate,0.0044551139975848916
master,0.004445933845620872
ear,0.0044192851289699
chain,0.004419063581190529
cake,0.004344500853556732
bring,0.004316894151508796
work,0.004286508580569911
fence,0.004227423960739332
store,0.004226116833254454
blood,0.004177283727432732
corner,0.004168538282860639
brown,0.004154543567326078
gonna,0.004103352270295479
christmas,0.004066318694008954
knee,0.0040635955552415295
thing,0.0040482883634253
ground,0.004026308192089828
ask,0.004015470840044362
saw,0.003981323385557713
spot,0.003948703366176744
horse,0.003934713486770147
shoulder,0.0038865333049571986
oak,0.0038785510256344256
