term,weight
lina,0.02537184998784059
doon,0.017271640230339027
way,0.008660520983001449
door,0.008577465533385429
light,0.008127802064224079
city,0.007783755561665438
thought,0.00705132831357507
mayor,0.007023956288647527
thing,0.0067465752486968915
didnt,0.0065796488933705065
ember,0.006421045517408213
pipework,0.006280912765597342
room,0.00626606035470906
right,0.006200303742572455
hand,0.005826433624253206
time,0.005782847993997039
day,0.0056429656961679946
think,0.005537677787469656
river,0.0052443828022512235
street,0.005207230985242082
guard,0.005097908210918955
dont,0.005010421020451741
boat,0.004913860558297009
box,0.004762125283159449
lizzie,0.0047302012000852165
look,0.004674590591915845
square,0.004525558415189114
granny,0.004481209685657931
clary,0.004427000151017959
saw,0.004419911903284623
paper,0.004155372281166627
wall,0.004108732268991893
foot,0.004011574907627976
felt,0.003987523525635427
message,0.003959192916087351
eye,0.003851319707669457
stood,0.0037728348411557237
ran,0.003704196897835474
father,0.003696505667737098
word,0.0036945252729829576
step,0.0036079931213284545
tell,0.0035925176404718747
dark,0.003565595295915366
tunnel,0.003550579243610917
water,0.003543556281800615
work,0.0035018106370463533
end,0.003491154528501757
instruction,0.00347253935841788
head,0.00346032135695317
place,0.00344364471163054
edge,0.0034412529205270002
mr,0.0034209428815849146
voice,0.003343549723838478
sat,0.0031578662335739025
face,0.0031234730147871787
want,0.0031097989146028114
home,0.0029670374321907967
moment,0.002908921496639275
candle,0.0028950031245757006
left,0.002881595016605857
pencil,0.002869892898579417
murdo,0.00275028933352146
heard,0.0026849355566226796
darkness,0.0026841492450399404
job,0.0026761478066438748
told,0.0025949894375344273
sure,0.0025885261150240353
year,0.0025704967827628617
finger,0.0025601239861244808
building,0.002558855501634406
mind,0.002473094852770473
floor,0.002468937988589101
line,0.0024589149008458887
hair,0.002443953297669475
man,0.0024197644893882812
wasnt,0.002412648387804787
arm,0.0024025506813650376
messenger,0.0023749218428277797
breath,0.0023611500871784812
minute,0.0023277426610149197
book,0.0023268583247173812
hall,0.0023254430984452016
mean,0.002316596606521726
chapter,0.0022668026748271564
held,0.002206671381138423
window,0.0021795766817927858
shop,0.002130507754448575
feel,0.002129198534559181
im,0.002077743115617788
baby,0.002076494811894982
ground,0.002062412915769403
child,0.002049552544708459
hold,0.0020412067837097866
ill,0.0020167865960238206
gathering,0.0020093873225218496
sound,0.0019439206285799683
kind,0.0019065556415077697
bed,0.0018948863312595867
person,0.0018903648395074992
rock,0.0018700186810472691
