term,weight
lyra,0.023362309488553175
daemon,0.010344387729465243
bear,0.009671042364622563
child,0.009159572845556392
lorek,0.00807785068379451
lord,0.007854296764440093
dont,0.007354169240841607
mr,0.007335732737999358
pantalaimon,0.007172690014805545
coulter,0.006902654485526991
way,0.006802019837003062
time,0.00634711797669693
tell,0.005913129917778813
asriel,0.005858541851140681
man,0.005803003790453688
farder,0.005599685894934483
coram,0.0055415994254653924
faa,0.005513223933996653
thing,0.005263990931621351
thought,0.004928554411645492
didnt,0.004908236861366658
witch,0.004839542855219655
hand,0.004754342904274378
roger,0.004738901028051283
eye,0.004736499890553807
think,0.004627830104500383
look,0.004586911569671162
john,0.004541276696816221
light,0.004522824338536985
heard,0.004505839326719497
dust,0.004497167641791085
byrnison,0.00449255045290601
master,0.004367997844493913
want,0.004364918392968564
door,0.004310831587517664
head,0.004260741580091921
right,0.004227781609118221
saw,0.004225766596710894
told,0.004034243851610828
alethiometer,0.0040097103690527516
im,0.003949571570816815
snow,0.0037909758729257515
lofur,0.0037702495100160136
room,0.0037241674898830083
felt,0.003501512994658143
place,0.003499645684798816
gobbler,0.003494822771022558
ent,0.003276419683606406
jordan,0.0032057857347590553
world,0.0031469424257289376
em,0.003099421694899282
voice,0.003070260339630437
help,0.0030191445633506015
air,0.0030146682515226793
face,0.0029775830745363413
youre,0.0029573586735903577
north,0.0029566790525651855
college,0.0029162415329576827
girl,0.0028794386557805442
father,0.0028127465705884707
wasnt,0.0027952302201156637
scholar,0.00276401734169276
armor,0.0027234137354368404
course,0.002670131217891358
stood,0.0026246942053872622
left,0.0025785677720652636
moment,0.002564953704338951
fur,0.002551078146410271
boy,0.002510905800162225
mind,0.002420123899604702
woman,0.00241892380729119
cold,0.0023979705055676534
kind,0.0023913827502262913
talk,0.0023759067092450482
raknison,0.002348035063149219
theyre,0.002329852972728869
wouldnt,0.002323836812719004
ground,0.0023040568922533308
foot,0.0023031038434645707
kid,0.002301294650878472
need,0.0022980046392820285
ill,0.0022897525254686195
costa,0.0022686432376213374
human,0.0022673749823658032
sky,0.0022644762277175276
tony,0.002262237928481731
dark,0.002214298191014064
table,0.0022027993956052583
work,0.002189403227466861
mean,0.0021769698586997736
day,0.0021640584069392123
svalbard,0.002153723908990714
sound,0.00211498264165593
hear,0.002091602270353882
sure,0.002079771906728524
sledge,0.0020345929793185473
tartar,0.00202616361111016
sat,0.0020055083539641523
minute,0.001972980378655396
question,0.001969194459815964
