word,percentage_known,Prevalence
a,0.98,1.9169999999999998
aardvark,0.96,1.6840000000000002
aardwolf,0.21,-0.7879999999999999
abaca,0.24,-0.706
aback,0.86,1.077
abacus,0.93,1.4280000000000002
abaft,0.19,-0.8759999999999999
abalone,0.69,0.496
abandon,1.0,2.427
abandoned,1.0,2.576
abandonee,0.66,0.409
abandoner,0.86,1.081
abandonment,0.99,2.185
abase,0.75,0.667
abased,0.79,0.784
abasement,0.81,0.871
abash,0.89,1.193
abashed,0.94,1.528
abashedly,0.86,1.074
abashment,0.79,0.81
abatable,0.72,0.573
abate,0.93,1.4269999999999998
abatement,0.89,1.1909999999999998
abattoir,0.59,0.221
abbacy,0.19,-0.879
abbatial,0.19,-0.877
abbe,0.19,-0.883
abbess,0.52,0.06
abbey,0.95,1.61
abbot,0.81,0.877
abbotship,0.42,-0.21100000000000002
abbreviate,0.99,2.174
abbreviated,0.99,2.32
abbreviation,1.0,2.349
abbreviator,0.91,1.305
abdicable,0.44,-0.161
abdicant,0.64,0.355
abdicate,0.91,1.338
abdication,0.9,1.263
abdicative,0.65,0.392
abdicator,0.9,1.254
abdomen,1.0,2.576
abdominal,0.99,2.248
abdominally,0.97,1.814
abduct,0.99,2.3209999999999997
abductee,0.98,1.935
abduction,1.0,2.435
abductor,0.98,1.9680000000000002
abeam,0.44,-0.14
abecedarian,0.18,-0.912
abecedary,0.21,-0.785
abed,0.67,0.426
abele,0.12,-1.1520000000000001
aberrance,0.67,0.433
aberrancy,0.55,0.113
aberrant,0.79,0.784
aberration,0.92,1.381
aberrational,0.71,0.537
abet,0.74,0.635
abetment,0.45,-0.11599999999999999
abettor,0.51,0.019
abeyance,0.56,0.155
abeyant,0.4,-0.25
abhor,0.89,1.185
abhorrence,0.94,1.537
abhorrent,0.95,1.599
abhorrently,0.93,1.463
abhorrer,0.69,0.5
abhorring,0.89,1.185
abidance,0.52,0.037000000000000005
abide,0.99,2.191
abider,0.81,0.858
abiding,0.99,2.068
abidingly,0.87,1.128
abidingness,0.58,0.198
ability,1.0,2.33
abiogenesis,0.41,-0.23399999999999999
abiogenetically,0.42,-0.201
abiotic,0.7,0.526
abject,0.89,1.195
abjection,0.74,0.639
abjectly,0.85,1.002
abjectness,0.79,0.784
abjudicate,0.73,0.596
abjuration,0.53,0.078
abjuratory,0.4,-0.239
abjure,0.56,0.153
abjurer,0.49,-0.018000000000000002
ablate,0.55,0.124
ablation,0.63,0.32
ablative,0.58,0.196
ablator,0.41,-0.217
ablaut,0.14,-1.075
ablaze,0.98,2.028
able,1.0,2.443
abler,0.65,0.391
ablest,0.41,-0.222
abloom,0.71,0.534
ablution,0.65,0.384
ablutionary,0.5,0.009000000000000001
ably,0.84,0.966
abnegate,0.43,-0.16699999999999998
abnegation,0.47,-0.08199999999999999
abnegator,0.35,-0.38
abnormal,1.0,2.4419999999999997
abnormality,1.0,2.4330000000000003
abnormally,0.99,2.241
abnormity,0.71,0.5539999999999999
aboard,0.99,2.326
abode,0.98,1.921
abolish,0.99,2.242
abolishable,0.85,1.005
abolisher,0.94,1.5319999999999998
abolishment,0.97,1.817
abolition,0.98,2.0
abolitionary,0.85,1.041
abolitionism,0.9,1.273
abolitionist,0.96,1.686
abominable,0.99,2.27
abominableness,0.77,0.738
abominably,0.96,1.706
abominate,0.89,1.2229999999999999
abomination,0.99,2.0709999999999997
abominator,0.73,0.605
aboriginal,0.95,1.629
aboriginality,0.72,0.563
aboriginals,0.93,1.444
aborigine,0.87,1.114
abort,1.0,2.349
aborted,1.0,2.426
abortion,1.0,2.4290000000000003
abortionist,0.96,1.65
abortive,0.92,1.365
abortively,0.79,0.792
abortiveness,0.69,0.49200000000000005
abound,0.98,1.95
abounding,0.95,1.568
about,1.0,2.576
above,1.0,2.443
aboveboard,0.74,0.647
aboveground,0.85,1.023
abovementioned,0.73,0.619
abracadabra,0.96,1.669
abrade,0.55,0.131
abrader,0.35,-0.392
abrasion,0.96,1.679
abrasive,0.98,1.963
abrasively,0.99,2.062
abrasiveness,0.99,2.082
abreact,0.14,-1.062
abreaction,0.2,-0.833
abreast,0.95,1.604
abridge,0.95,1.6119999999999999
abridged,0.97,1.876
abridgement,0.93,1.42
abridger,0.62,0.308
abridgment,0.89,1.187
abroad,0.99,2.327
abrogable,0.25,-0.677
abrogate,0.61,0.28600000000000003
abrogation,0.58,0.196
abrogative,0.49,-0.027999999999999997
abrupt,1.0,2.338
abruption,0.74,0.637
abruptly,0.99,2.245
abruptness,1.0,2.436
abscess,0.94,1.5490000000000002
abscessed,0.87,1.111
abscise,0.31,-0.484
abscissa,0.24,-0.695
abscission,0.34,-0.406
abscond,0.87,1.128
absconded,0.91,1.327
absconder,0.85,1.008
abseil,0.36,-0.34299999999999997
absence,0.99,2.253
absent,0.99,2.173
absentee,0.99,2.141
absenteeism,0.9,1.266
absenter,0.53,0.08
absently,0.97,1.83
absentminded,0.95,1.561
absentmindedly,0.97,1.868
absentmindedness,0.98,1.922
absentness,0.78,0.767
absinthe,0.91,1.294
absinthian,0.55,0.122
absolute,0.99,2.261
absolutely,1.0,2.335
absoluteness,0.9,1.238
absolution,0.98,2.013
absolutism,0.94,1.51
absolutist,0.95,1.569
absolutistic,0.43,-0.17800000000000002
absolutory,0.51,0.022000000000000002
absolvable,0.87,1.109
absolve,0.98,2.019
absolvent,0.85,1.0190000000000001
absolver,0.91,1.311
absorb,1.0,2.576
absorbability,0.91,1.288
absorbable,0.94,1.504
absorbance,0.94,1.5130000000000001
absorbed,0.99,2.191
absorbedly,0.77,0.735
absorbedness,0.72,0.565
absorbency,0.98,1.903
absorbent,0.99,2.327
absorber,0.94,1.5190000000000001
absorbing,1.0,2.43
absorbingly,0.91,1.315
absorption,0.98,1.985
absorptive,0.71,0.555
absorptiveness,0.64,0.345
absorptivity,0.64,0.355
abstain,0.97,1.8780000000000001
abstainer,0.93,1.4180000000000001
abstemious,0.52,0.052000000000000005
abstemiously,0.5,0.003
abstemiousness,0.43,-0.175
abstention,0.86,1.075
abstentious,0.78,0.77
abstergent,0.26,-0.627
abstinence,0.98,2.025
abstinent,0.94,1.554
abstinently,0.8,0.818
abstract,1.0,2.576
abstracted,0.97,1.867
abstractedly,0.87,1.109
abstractedness,0.83,0.956
abstracter,0.78,0.75
abstraction,0.98,1.9369999999999998
abstractionism,0.83,0.956
abstractionist,0.89,1.23
abstractive,0.76,0.7040000000000001
abstractly,0.98,1.994
abstractness,0.92,1.3719999999999999
abstractor,0.85,1.036
abstruse,0.5,-0.006
abstrusely,0.54,0.08800000000000001
abstruseness,0.57,0.16699999999999998
absurd,1.0,2.335
absurdist,0.86,1.084
absurdity,0.99,2.248
absurdly,0.98,1.9809999999999999
absurdness,0.94,1.5090000000000001
abundance,0.99,2.316
abundant,0.99,2.185
abundantly,0.99,2.097
abuse,1.0,2.4459999999999997
abuser,0.99,2.096
abusive,0.99,2.2569999999999997
abusively,0.98,1.9169999999999998
abusiveness,0.96,1.679
abut,0.53,0.063
abutilon,0.12,-1.14
abutment,0.61,0.28300000000000003
abuttal,0.61,0.275
abutter,0.29,-0.5589999999999999
abutting,0.71,0.556
abuzz,0.8,0.821
abysm,0.46,-0.107
abysmal,0.96,1.6669999999999998
abysmally,0.91,1.294
abyss,0.99,2.245
abyssal,0.7,0.524
acacia,0.75,0.659
academe,0.56,0.138
academia,0.97,1.879
academic,0.99,2.325
academically,1.0,2.336
academicals,0.48,-0.057
academician,0.65,0.39399999999999996
academicians,0.71,0.535
academicism,0.64,0.348
academics,1.0,2.576
academism,0.64,0.355
academy,1.0,2.44
acajou,0.07,-1.455
acanthine,0.23,-0.7290000000000001
acanthocephalan,0.23,-0.722
acanthodian,0.15,-1.0270000000000001
acanthus,0.37,-0.336
acatalectic,0.16,-0.976
accede,0.72,0.588
accelerando,0.33,-0.424
accelerant,0.96,1.74
accelerate,1.0,2.576
accelerated,0.99,2.307
acceleration,0.99,2.171
accelerative,0.82,0.895
accelerator,1.0,2.576
acceleratory,0.84,0.992
accelerometer,0.84,0.971
accent,0.99,2.108
accentor,0.58,0.192
accentual,0.76,0.6990000000000001
accentually,0.69,0.494
accentuate,0.96,1.726
accentuation,0.91,1.324
accept,0.99,2.313
acceptability,0.99,2.127
acceptable,1.0,2.336
acceptableness,0.82,0.9
acceptably,0.97,1.835
acceptance,0.99,2.117
acceptant,0.84,0.963
acceptation,0.54,0.11
accepted,1.0,2.576
accepter,0.77,0.726
acceptor,0.8,0.841
access,1.0,2.439
accessary,0.73,0.606
accessibility,0.99,2.234
accessible,1.0,2.438
accessibly,0.94,1.511
accession,0.89,1.188
accessional,0.54,0.099
accessorial,0.68,0.469
accessorily,0.47,-0.078
accessorize,0.99,2.169
accessory,0.99,2.229
accidence,0.4,-0.251
accident,1.0,2.444
accidental,0.99,2.322
accidentally,0.99,2.182
accidentalness,0.51,0.017
accidently,0.96,1.699
accipiter,0.17,-0.9309999999999999
acclaim,0.98,1.973
acclaimer,0.85,1.011
acclamation,0.92,1.381
acclamatory,0.7,0.525
acclimate,0.93,1.416
acclimation,0.86,1.0490000000000002
acclimatization,0.88,1.176
acclimatize,0.82,0.9129999999999999
acclivitous,0.16,-0.987
acclivity,0.39,-0.27399999999999997
accolade,0.95,1.565
accommodate,0.99,2.2319999999999998
accommodating,0.99,2.237
accommodatingly,0.87,1.1
accommodation,1.0,2.436
accommodative,0.86,1.073
accommodativeness,0.68,0.461
accommodator,0.92,1.3769999999999998
accompanier,0.72,0.588
accompaniment,0.97,1.7719999999999998
accompanist,0.91,1.2930000000000001
accompany,1.0,2.576
accomplice,0.99,2.165
accomplish,0.99,2.18
accomplishable,0.91,1.3159999999999998
accomplished,0.99,2.24
accomplisher,0.88,1.172
accomplishment,1.0,2.441
accord,0.98,2.05
accordable,0.72,0.591
accordance,0.99,2.113
accordant,0.87,1.129
accordantly,0.62,0.298
accorder,0.52,0.040999999999999995
according,1.0,2.576
accordingly,0.99,2.3209999999999997
accordion,0.98,1.893
accordionist,0.89,1.224
accost,0.93,1.4409999999999998
accosted,0.95,1.571
accouchement,0.44,-0.161
account,1.0,2.331
accountability,0.99,2.175
accountable,1.0,2.576
accountableness,0.65,0.369
accountably,0.89,1.198
accountancy,0.86,1.081
accountant,1.0,2.339
accountantship,0.67,0.441
accounting,0.99,2.318
accouter,0.27,-0.603
accouterment,0.59,0.217
accoutrement,0.77,0.7440000000000001
accredit,0.94,1.55
accreditation,0.94,1.555
accredited,0.99,2.116
accrete,0.56,0.141
accretion,0.59,0.23399999999999999
accretive,0.44,-0.149
accrual,0.74,0.635
accrue,0.9,1.2590000000000001
accruement,0.84,1.0
acculturate,0.58,0.21
acculturation,0.61,0.282
accumulate,0.99,2.32
accumulation,1.0,2.576
accumulative,0.99,2.245
accumulatively,0.94,1.494
accumulativeness,0.77,0.718
accumulator,0.97,1.785
accuracy,1.0,2.3280000000000003
accurate,1.0,2.329
accurately,1.0,2.424
accurateness,0.82,0.919
accurse,0.71,0.539
accursed,0.91,1.339
accursedly,0.81,0.855
accursedness,0.78,0.76
accusable,0.96,1.704
accusation,0.99,2.135
accusative,0.88,1.161
accusatively,0.79,0.8079999999999999
accusatorial,0.89,1.188
accusatorially,0.76,0.693
accusatory,0.95,1.626
accuse,0.99,2.085
accused,1.0,2.428
accuser,0.98,1.9369999999999998
accusingly,0.98,1.9709999999999999
accustom,0.94,1.507
accustomed,0.99,2.162
accustomedness,0.58,0.198
ace,0.99,2.234
acerb,0.33,-0.433
acerbate,0.73,0.6
acerbic,0.76,0.6970000000000001
acerbity,0.58,0.19699999999999998
acetabulum,0.32,-0.46
acetaldehyde,0.54,0.11
acetaminophen,0.75,0.6679999999999999
acetanilide,0.19,-0.8690000000000001
acetate,0.91,1.3419999999999999
acetated,0.57,0.18
acetazolamide,0.39,-0.268
acetic,0.71,0.556
acetifier,0.33,-0.44
acetify,0.43,-0.18100000000000002
acetone,0.94,1.5490000000000002
acetonitrile,0.22,-0.758
acetous,0.32,-0.452
acetum,0.31,-0.498
acetyl,0.76,0.69
acetylation,0.51,0.023
acetylcholine,0.63,0.335
acetylene,0.82,0.914
acetylsalicylate,0.61,0.276
acetylsalicylic,0.66,0.42
ach,0.36,-0.34600000000000003
achalasia,0.22,-0.765
ache,0.99,2.167
achievable,0.99,2.145
achieve,0.99,2.2319999999999998
achievement,1.0,2.438
achiever,0.99,2.2030000000000003
achiness,0.89,1.205
aching,0.98,2.051
achingly,0.93,1.423
achromatic,0.73,0.593
achromatically,0.67,0.44299999999999995
achromatize,0.54,0.10300000000000001
achromous,0.37,-0.322
achy,0.93,1.464
acicular,0.21,-0.7929999999999999
aciculate,0.13,-1.11
acid,1.0,2.333
acidic,0.99,2.326
acidification,0.86,1.056
acidifier,0.81,0.872
acidify,0.92,1.365
acidimetric,0.33,-0.428
acidimetrically,0.23,-0.745
acidity,0.99,2.193
acidize,0.72,0.5710000000000001
acidly,0.83,0.943
acidometer,0.64,0.363
acidophilic,0.69,0.488
acidophilus,0.62,0.301
acidosis,0.68,0.462
acidulate,0.34,-0.408
acidulous,0.4,-0.245
aciform,0.22,-0.769
acknowledge,1.0,2.576
acknowledgeable,0.94,1.521
acknowledged,0.99,2.174
acknowledgement,0.99,2.173
acknowledger,0.87,1.093
acme,0.86,1.047
acne,0.99,2.162
acolyte,0.83,0.946
aconite,0.39,-0.27399999999999997
aconitum,0.13,-1.091
acorn,0.98,1.909
acoustic,0.99,2.182
acoustical,0.87,1.102
acoustically,0.99,2.077
acoustician,0.74,0.6459999999999999
acoustics,0.99,2.305
acquaint,0.98,1.931
acquaintance,0.99,2.262
acquaintanceship,0.82,0.889
acquainted,0.99,2.322
acquiesce,0.85,1.024
acquiescence,0.88,1.177
acquiescent,0.9,1.247
acquiescently,0.81,0.883
acquiescingly,0.71,0.537
acquirable,0.97,1.857
acquire,0.99,2.177
acquired,0.99,2.305
acquirement,0.85,1.023
acquirer,0.95,1.6059999999999999
acquisition,0.99,2.06
acquisitive,0.87,1.0979999999999999
acquisitively,0.81,0.872
acquisitiveness,0.8,0.835
acquit,0.92,1.3719999999999999
acquittal,0.95,1.6340000000000001
acquitter,0.85,1.013
acre,0.99,2.245
acreage,0.83,0.943
acrid,0.89,1.19
acridity,0.73,0.606
acridly,0.77,0.7290000000000001
acridness,0.79,0.812
acrimonious,0.86,1.077
acrimoniously,0.88,1.138
acrimoniousness,0.75,0.677
acrimony,0.84,0.9740000000000001
acrobat,0.99,2.259
acrobatic,1.0,2.334
acrobatically,0.98,1.9509999999999998
acrobatics,0.99,2.184
acrogenic,0.37,-0.32799999999999996
acrogenous,0.29,-0.544
acrolith,0.24,-0.6940000000000001
acrolithic,0.34,-0.402
acromegaly,0.19,-0.851
acromion,0.21,-0.797
acronym,0.98,2.016
acronymic,0.72,0.5870000000000001
acrophobia,0.87,1.1059999999999999
acropolis,0.89,1.185
acrosome,0.17,-0.927
across,1.0,2.33
acrostic,0.7,0.517
acrostically,0.6,0.242
acryl,0.44,-0.13699999999999998
acrylamide,0.47,-0.065
acrylate,0.47,-0.08
acrylic,0.99,2.175
acrylonitrile,0.22,-0.748
act,1.0,2.576
actability,0.55,0.13
actable,0.65,0.37799999999999995
actin,0.32,-0.46399999999999997
acting,0.99,2.136
actinia,0.2,-0.833
actinic,0.23,-0.733
actinically,0.15,-1.0270000000000001
actinium,0.41,-0.22399999999999998
actinography,0.27,-0.619
action,1.0,2.414
actionable,0.92,1.3659999999999999
actionably,0.73,0.617
activate,1.0,2.339
activation,1.0,2.434
activator,0.99,2.099
active,1.0,2.576
actively,0.99,2.141
activeness,0.94,1.508
activism,1.0,2.334
activist,1.0,2.43
activity,0.99,2.255
actor,1.0,2.427
actress,0.99,2.26
acts,0.99,2.235
actual,1.0,2.342
actuality,0.99,2.099
actualization,0.98,2.005
actualize,0.97,1.804
actually,1.0,2.346
actuarial,0.71,0.5489999999999999
actuarially,0.58,0.203
actuary,0.88,1.168
actuate,0.9,1.247
actuation,0.84,0.966
actuator,0.81,0.873
acuity,0.84,0.963
aculeate,0.19,-0.863
acumen,0.81,0.863
acuminate,0.34,-0.41600000000000004
acumination,0.3,-0.507
acuminous,0.34,-0.40299999999999997
acupressure,0.85,1.032
acupuncture,0.99,2.1790000000000003
acupuncturist,0.97,1.791
acute,0.99,2.3280000000000003
acutely,0.99,2.1790000000000003
acuteness,0.98,1.922
acyclic,0.62,0.29100000000000004
acyclovir,0.23,-0.737
acyl,0.19,-0.86
acylation,0.24,-0.685
ad,0.96,1.744
adage,0.89,1.196
adagio,0.72,0.5720000000000001
adamancy,0.65,0.377
adamant,0.96,1.702
adamantine,0.61,0.264
adamantly,0.95,1.617
adapt,1.0,2.576
adaptability,0.99,2.259
adaptable,1.0,2.438
adaptation,1.0,2.441
adapter,0.99,2.2430000000000003
adaption,0.94,1.489
adaptive,0.99,2.119
adaptively,0.95,1.62
adaptor,0.99,2.145
add,1.0,2.576
addable,0.63,0.32299999999999995
addax,0.1,-1.273
added,0.99,2.199
addend,0.66,0.419
addenda,0.61,0.28800000000000003
addendum,0.92,1.405
adder,0.86,1.074
addible,0.34,-0.42100000000000004
addict,1.0,2.576
addicted,1.0,2.576
addictedness,0.78,0.75
addiction,1.0,2.43
addictive,0.99,2.326
addictiveness,0.97,1.8019999999999998
addition,0.99,2.315
additional,1.0,2.576
additionally,1.0,2.437
additive,0.99,2.229
additively,0.76,0.691
additivity,0.64,0.354
addle,0.74,0.623
addlebrained,0.76,0.691
addled,0.8,0.8290000000000001
address,1.0,2.329
addressable,0.9,1.2690000000000001
addressbook,0.78,0.7659999999999999
addressee,0.94,1.5030000000000001
addresser,0.89,1.229
addressograph,0.18,-0.907
addressor,0.84,0.985
adduce,0.36,-0.36
adducible,0.32,-0.465
adduct,0.54,0.1
adduction,0.61,0.271
adductive,0.52,0.046
adductor,0.56,0.146
adenine,0.52,0.051
adenitis,0.27,-0.596
adenocarcinoma,0.56,0.142
adenoid,0.77,0.741
adenoidal,0.66,0.4
adenoids,0.8,0.8440000000000001
adenoma,0.45,-0.115
adenomatous,0.25,-0.667
adenosine,0.48,-0.047
adenoviral,0.45,-0.128
adenovirus,0.49,-0.024
adenylyl,0.17,-0.929
adept,0.96,1.661
adeptly,0.95,1.5619999999999998
adeptness,0.92,1.391
adequacy,0.98,2.021
adequate,0.99,2.201
adequately,0.99,2.242
adequateness,0.83,0.932
adhere,0.99,2.166
adherence,0.97,1.7890000000000001
adherent,0.98,1.929
adherently,0.89,1.2
adherer,0.84,0.965
adhesion,0.97,1.7590000000000001
adhesive,1.0,2.438
adhesively,0.93,1.436
adhesiveness,0.97,1.764
adiabatic,0.21,-0.809
adiabatically,0.22,-0.747
adiaphorous,0.29,-0.56
adieu,0.91,1.3130000000000002
adieux,0.61,0.27699999999999997
adipocerous,0.23,-0.718
adipose,0.63,0.321
adiposity,0.46,-0.106
adjacency,0.85,1.041
adjacent,1.0,2.424
adjacently,0.91,1.3259999999999998
adjectival,0.62,0.309
adjectivally,0.65,0.373
adjective,1.0,2.576
adjectively,0.83,0.9570000000000001
adjoin,0.93,1.436
adjoined,0.95,1.635
adjoining,0.98,1.9769999999999999
adjourn,0.95,1.643
adjournment,0.95,1.633
adjudge,0.54,0.095
adjudicate,0.94,1.516
adjudication,0.92,1.3969999999999998
adjudicative,0.81,0.883
adjudicator,0.92,1.4
adjunct,0.92,1.375
adjunction,0.84,0.9740000000000001
adjunctive,0.86,1.046
adjunctively,0.84,0.987
adjuration,0.63,0.32299999999999995
adjuratory,0.45,-0.131
adjure,0.75,0.6579999999999999
adjurer,0.58,0.209
adjust,0.99,2.166
adjustability,0.98,2.005
adjustable,1.0,2.576
adjustably,0.83,0.934
adjuster,0.97,1.77
adjustment,1.0,2.344
adjustor,0.93,1.473
adjutancy,0.45,-0.134
adjutant,0.59,0.223
adjuvant,0.53,0.068
adman,0.47,-0.07200000000000001
admeasure,0.33,-0.426
admin,0.92,1.3730000000000002
administer,0.99,2.066
administrable,0.86,1.055
administrant,0.71,0.5429999999999999
administrate,0.97,1.78
administration,1.0,2.445
administrational,0.83,0.937
administrative,1.0,2.344
administratively,0.97,1.851
administrator,0.99,2.102
admirable,1.0,2.576
admirableness,0.66,0.401
admirably,0.99,2.322
admiral,1.0,2.576
admiralship,0.8,0.836
admiralty,0.84,0.986
admiration,1.0,2.437
admire,1.0,2.345
admired,1.0,2.576
admirer,0.99,2.3169999999999997
admiring,0.98,2.032
admiringly,0.97,1.8659999999999999
admissibility,0.92,1.355
admissible,0.97,1.87
admissibleness,0.6,0.253
admissibly,0.91,1.3459999999999999
admission,1.0,2.44
admissive,0.93,1.465
admit,0.99,2.32
admittance,0.99,2.245
admitted,0.99,2.24
admittedly,0.99,2.088
admitter,0.86,1.068
admix,0.25,-0.675
admixture,0.44,-0.154
admonish,0.9,1.287
admonisher,0.88,1.15
admonishingly,0.86,1.052
admonishment,0.91,1.331
admonition,0.9,1.234
admonitory,0.57,0.17300000000000001
adnexa,0.08,-1.369
adnexal,0.11,-1.183
adnominal,0.47,-0.086
adnoun,0.22,-0.755
ado,0.84,0.965
adobe,0.97,1.8630000000000002
adolescence,0.99,2.128
adolescent,0.98,2.021
adolescently,0.81,0.8640000000000001
adopt,1.0,2.424
adoptability,0.94,1.51
adoptable,0.99,2.177
adopted,1.0,2.576
adoptee,0.97,1.8419999999999999
adopter,0.95,1.58
adoption,1.0,2.576
adoptive,1.0,2.33
adoptively,0.86,1.047
adorability,0.85,1.0170000000000001
adorable,0.99,2.218
adorableness,0.89,1.19
adorably,0.98,2.0469999999999997
adoration,0.99,2.213
adore,1.0,2.334
adorer,0.89,1.198
adoring,0.99,2.228
adoringly,0.98,2.001
adorn,0.96,1.7269999999999999
adorner,0.88,1.16
adornment,0.98,1.89
adown,0.14,-1.05
adrenal,0.91,1.324
adrenalin,0.92,1.393
adrenaline,0.99,2.241
adrenergic,0.26,-0.629
adrenocortical,0.55,0.11699999999999999
adrenocorticotropic,0.38,-0.304
adrift,0.98,1.906
adroit,0.68,0.475
adroitly,0.67,0.439
adroitness,0.7,0.518
adscript,0.49,-0.015
adscription,0.25,-0.68
adsorb,0.47,-0.066
adsorbent,0.52,0.04
adsorption,0.5,0.0
adsorptive,0.34,-0.419
adularia,0.11,-1.206
adulate,0.76,0.6920000000000001
adulation,0.88,1.1520000000000001
adulator,0.68,0.474
adulatory,0.75,0.659
adult,1.0,2.576
adulterant,0.71,0.537
adulterate,0.92,1.402
adulteration,0.95,1.6059999999999999
adulterator,0.73,0.61
adulterer,0.98,1.942
adulteress,0.97,1.7890000000000001
adulterine,0.27,-0.607
adulterous,0.99,2.256
adulterously,0.93,1.432
adultery,0.99,2.301
adulthood,1.0,2.332
adultlike,0.87,1.128
adultness,0.74,0.628
adumbral,0.17,-0.95
adumbrate,0.2,-0.8390000000000001
adumbration,0.16,-0.97
adumbrative,0.14,-1.055
adumbratively,0.13,-1.1320000000000001
advance,1.0,2.426
advanced,1.0,2.335
advancement,1.0,2.338
advancer,0.88,1.161
advancing,0.99,2.244
advantage,1.0,2.423
advantageous,0.98,1.974
advantageously,0.96,1.679
advantageousness,0.82,0.909
advection,0.26,-0.63
advent,1.0,2.33
adventitia,0.15,-1.014
adventitious,0.45,-0.133
adventitiously,0.46,-0.096
adventitiousness,0.34,-0.415
adventure,1.0,2.423
adventurer,0.99,2.092
adventuresome,0.92,1.3730000000000002
adventuress,0.79,0.7929999999999999
adventurism,0.86,1.046
adventurist,0.9,1.2429999999999999
adventurous,1.0,2.44
adventurously,0.96,1.682
