word,AoA,percentage_known,Prevalence,concreteness,valence,arousal,dominance
corsage,8,0.93,1.42,4.38,6.3,3.4,5.55
rump,6,0.98,1.99,4.81,5.81,4.79,5.09
intuition,10,1.0,2.44,1.67,6.42,4.81,5.84
spooky,2,1.0,2.42,2.25,4.4,6.0,4.48
cause,2,1.0,2.44,2.43,5.14,3.48,5.17
spear,2,0.99,2.24,5.0,4.43,4.7,5.0
go,2,0.99,2.16,3.15,6.32,4.86,5.33
inherent,14,0.99,2.23,1.64,5.95,3.71,5.68
casino,6,0.99,2.1,4.77,4.68,6.05,4.84
fixation,12,0.99,2.25,1.67,4.11,4.11,3.73
revision,10,1.0,2.43,2.74,4.62,4.19,6.23
manner,4,1.0,2.43,1.62,5.86,3.52,5.45
dull,2,0.99,2.11,2.37,3.4,1.67,4.71
visibility,6,0.99,2.31,3.04,6.0,3.09,5.67
remember,2,0.99,2.27,2.41,6.5,3.14,6.31
jewel,2,1.0,2.44,4.96,6.68,3.83,5.1
skin,2,1.0,2.43,4.79,5.78,3.25,5.0
conclusion,6,1.0,2.44,2.11,4.8,3.95,6.63
cynicism,13,0.98,1.98,1.78,3.41,5.0,4.79
say,2,0.99,2.24,2.58,5.91,4.43,6.88
latrine,12,0.94,1.48,4.62,4.0,3.82,5.56
stitch,4,1.0,2.44,4.32,4.95,3.36,5.11
courtesy,6,0.99,2.23,1.77,6.79,4.3,5.96
receive,2,1.0,2.44,2.69,7.14,4.3,6.79
truck,2,0.99,2.24,4.84,5.16,3.76,5.43
garden,2,1.0,2.58,4.73,7.25,3.71,6.13
presumptuous,12,0.99,2.23,1.63,4.1,3.47,4.81
myriad,12,0.96,1.65,2.12,5.52,3.52,5.41
lifetime,4,0.99,2.25,2.15,7.3,4.52,5.09
ledge,4,1.0,2.34,4.72,5.24,4.95,4.36
inactive,8,0.99,2.31,3.17,4.24,3.05,5.04
immortality,8,1.0,2.44,1.52,5.42,4.9,5.45
satellite,6,1.0,2.43,4.73,5.56,5.17,4.53
blatant,14,0.98,1.95,2.08,3.68,4.62,5.45
butt,2,0.98,2.06,4.75,5.36,5.2,5.68
drawer,2,0.99,2.2,4.67,4.67,3.0,5.71
menopause,12,1.0,2.44,3.19,1.89,3.55,4.32
empire,4,1.0,2.43,3.0,5.36,4.59,5.95
dresser,6,0.99,2.31,4.96,5.28,2.58,4.96
parrot,2,1.0,2.43,5.0,6.79,4.65,4.25
prawn,13,0.95,1.61,4.62,4.82,2.79,4.76
insult,4,1.0,2.43,2.79,2.62,5.3,3.96
obsess,12,0.97,1.88,2.14,3.23,4.95,4.1
inability,6,0.99,2.24,2.0,3.0,3.5,3.4
acceleration,6,0.99,2.17,2.97,6.19,6.73,5.76
look,2,1.0,2.33,2.96,5.95,3.76,5.88
estimate,6,1.0,2.58,2.65,5.95,3.41,5.43
bet,2,1.0,2.44,3.1,4.95,4.76,5.5
insistence,12,0.98,1.94,2.25,5.0,5.63,5.33
peel,2,0.99,2.32,4.61,4.68,3.71,5.57
scurvy,10,0.99,2.17,3.43,2.76,5.18,4.12
narcotic,4,1.0,2.33,4.04,3.52,4.38,3.45
consumption,10,1.0,2.44,3.16,4.65,3.76,6.0
deceitful,10,0.99,2.13,2.13,2.6,5.18,4.11
homemade,4,1.0,2.44,2.9,7.38,4.08,6.75
nameless,6,0.99,2.19,1.83,2.79,2.8,4.58
pea,2,1.0,2.44,4.9,6.0,2.41,5.0
sculpture,6,0.99,2.33,4.79,6.5,3.48,5.62
celestial,10,0.99,2.12,2.86,6.76,4.68,5.18
tiresome,8,1.0,2.44,2.08,3.86,2.52,4.73
ownership,2,1.0,2.58,2.42,5.85,4.41,7.53
route,2,1.0,2.44,3.88,5.86,3.83,5.23
arrogance,10,0.99,2.17,1.74,2.55,4.65,5.0
stallion,4,0.99,2.25,4.72,6.35,4.77,6.56
