term,weight
thought,0.01994526299541706
plane,0.01702950231991967
water,0.01594237450703317
brian,0.014295745460255192
lake,0.013741198333451669
time,0.012775873524000628
fish,0.011100501052183704
thing,0.010438979315938918
right,0.010396647288305446
way,0.010260118726917783
food,0.010142104297319928
pilot,0.009293103766164
day,0.008882935365692348
saw,0.008733797703457197
shelter,0.008477476479782796
didnt,0.00847518574915468
wood,0.008280613858505563
head,0.007807211766384906
berry,0.0077001020421932805
tree,0.007686657411339507
sound,0.007607570634033819
eat,0.007470940005526058
eye,0.007421213965765048
sun,0.007390505254816487
bird,0.007301733309682477
hatchet,0.007186526132816022
foot,0.0071451827107967296
hand,0.0070055928701386804
die,0.006676202190688026
left,0.006532461347007355
felt,0.006372609242561308
kind,0.0060570513539799364
leg,0.005883072901013205
hit,0.005807792445896742
pain,0.00574692646113135
mother,0.0057017841338634755
night,0.005468460172160858
bit,0.005331439156221338
dark,0.005186381196929262
end,0.005117409862468831
mind,0.005110984907750437
mouth,0.00508674707263306
spear,0.005002886189895637
work,0.0049988431147707044
arrow,0.004996282821869913
egg,0.004901845982786695
place,0.004897694469581644
sat,0.004779752173732965
think,0.00460262526145742
sand,0.004590390811672006
bow,0.0045806447356093564
fly,0.004526099367669292
piece,0.004413743467985989
look,0.004330865099499763
face,0.0042632023517878035
light,0.004237631006429325
rock,0.004150891534835915
body,0.004144478097976516
spark,0.004112910084180763
smell,0.00409254418451582
belt,0.004002562453058052
held,0.003947218266882135
father,0.0039058588106339444
moment,0.003891444924672663
hunger,0.0038623305552657685
cut,0.003860309788518448
help,0.003835805969764491
raft,0.0038251067241389484
limb,0.0037009521978597745
fast,0.003657753267737863
meat,0.0036536814861733136
stood,0.0036293233886851954
breath,0.003605676783985267
sleep,0.00360460441559284
wall,0.003529905820825003
crash,0.0035272498389484555
morning,0.003523463989148855
bear,0.0035170731813354487
stomach,0.0035063792645983276
heard,0.0034894134547067443
hour,0.003474510495835227
shore,0.0034414109799374075
smoke,0.0034322108407791913
secret,0.0034283595779082197
mosquito,0.003399035141001645
wasnt,0.0033972534061873544
home,0.003388945925413651
seat,0.0032636803541569916
sure,0.0032509735173560437
tail,0.003242793921782606
arm,0.0032411518820305834
deep,0.0032189627406503415
wheel,0.0031995751286705617
air,0.0031683784785640455
turn,0.0030082297917204404
course,0.00298430722770273
wind,0.0029387706606341085
brush,0.002914078656870481
ate,0.002883437214048515
noise,0.002847629666583849
