term,weight
maniac,0.02929488229263671
kid,0.021254870107221158
bar,0.011871537430067407
mar,0.011739915561018182
grayson,0.01052480164667715
man,0.010437319350054416
day,0.009884740584215457
time,0.009315225320650282
im,0.009086814585879288
amanda,0.008778487184863123
street,0.008608879883659815
didnt,0.008431052299220322
end,0.008310799227979546
way,0.008160365393920201
book,0.0077626660571986405
magee,0.007675038775680873
dont,0.007661078239102706
house,0.007338978317043518
door,0.007290438994984547
mr,0.007279557561291803
right,0.007062450736528702
home,0.0069332646900853
hand,0.006805996595867737
eye,0.0064761020866459205
wasnt,0.006414507140897403
school,0.00620540396911553
mcnab,0.0061620713631975466
night,0.006151100196508698
yeah,0.0059887347024855375
room,0.005909543055670296
piper,0.00588176437175891
east,0.005838550480267085
ball,0.0057165102298002346
russell,0.005671352513611223
beale,0.00564908553341346
thing,0.00556278226544582
jeffrey,0.005459513736514047
boy,0.005364701557865384
aint,0.005343584701397676
face,0.005205850016209944
morning,0.004896697379169809
minute,0.004855238953708073
story,0.004850098233663306
thought,0.00477508841199648
want,0.004665955107580458
buffalo,0.004471339813425841
town,0.004425892831217007
head,0.004358043568895546
okay,0.004327873670242274
ya,0.004276090655285869
gonna,0.004254583901714503
john,0.0042505631502377066
told,0.004084646738636573
ran,0.004028943561601176
west,0.00402283402815729
tell,0.003988267332860983
saw,0.0039576694753301915
youre,0.00391424719193582
knot,0.0039046642155083624
year,0.0037929662723089176
fence,0.0037677179864534813
somebody,0.0037307671899529373
voice,0.0036454873720256804
pizza,0.00361242221465758
everybody,0.0035806380201613658
mother,0.003547909587426978
block,0.0035182679300202377
left,0.0035143320865973103
stop,0.0035077653721266853
sure,0.00345898220453154
heard,0.0033635182504991304
baseball,0.0033531710739037757
look,0.003344230669702975
week,0.0033429450187556194
dinner,0.0032927492337144894
think,0.0032355987221834148
read,0.0032243552292731377
answer,0.0031933896262601935
hester,0.003184620960605384
ill,0.0031780890077908815
floor,0.0031447201087912726
kept,0.0030495194781962596
word,0.003042849610648017
brother,0.003037982808690973
cobra,0.0030340559679093134
lester,0.0029747104191311696
step,0.00296413885143759
course,0.0029637488797783357
stay,0.002937018636665581
gotta,0.0029276938695664283
park,0.0029268417769370506
huh,0.0028646601161732366
league,0.0028329041136776604
sycamore,0.0028313889427876147
half,0.0027443029659604923
corner,0.002740928915029991
game,0.002738175524552151
stood,0.002698643357837399
pickwell,0.0026958535657501375
life,0.002672570038028515
