term,weight
annemarie,0.04032424874679871
mama,0.03576489482270722
ellen,0.026324174360828522
kirsti,0.025087870696663395
soldier,0.019749633827900803
papa,0.018851516447549743
henrik,0.01581187140351453
mother,0.015640002947882745
uncle,0.014344599457059893
peter,0.013426224584788902
told,0.01256151886253078
time,0.011514840023065602
hand,0.011307487863605031
voice,0.011206319027123391
mr,0.011146786494613661
girl,0.010960752543788336
room,0.01052768469375777
door,0.01050388205792404
didnt,0.010471085555544313
night,0.010190726669634543
dont,0.009828801282747693
right,0.009526976938655177
eye,0.009512545956870622
dark,0.009338718144170572
look,0.009187922205913388
boat,0.008783955539532535
head,0.008751122468195807
path,0.008280648219873349
face,0.008274404169182768
tell,0.008228062907131205
king,0.008156874356572799
heard,0.008146891278319104
dog,0.00800309494407835
think,0.00796720420063406
want,0.00785698297932577
bed,0.007724173568509432
friend,0.007721053042765616
house,0.007688938024005147
sister,0.007462164167471966
home,0.007448162955068657
year,0.007300271680753036
way,0.0072562881479459876
rosen,0.007244818601264826
thought,0.007178525354023391
moment,0.006707727323040362
morning,0.006684435116074772
window,0.00654170280177703
day,0.006418425895712261
basket,0.006372703580428624
corner,0.006354585030421917
saw,0.006343582372436813
wood,0.006270876098738041
johansen,0.0061755520561655244
living,0.00614305032153517
kitchen,0.006123788714556826
arm,0.005956623983138572
bedroom,0.005955662849695179
im,0.005870608399990419
sea,0.0056598831679859785
school,0.0056248204279889455
parent,0.005506840538779361
lise,0.005505582370580832
sat,0.005489324735393975
light,0.005445130827466841
officer,0.005380888997642821
understand,0.005376489480088935
copenhagen,0.0051713507952640915
denmark,0.005152905557356072
brave,0.005132788230770105
story,0.005025230185962601
apartment,0.004997499021956218
stood,0.004981498852205925
shoe,0.004970848898430838
wasnt,0.004840298212104156
sweden,0.004825028695195049
need,0.004765695362712063
thing,0.004763576214281288
child,0.004761666914048881
birte,0.00475936524826677
sure,0.004735664746269416
baby,0.0046628577731463085
henriks,0.004653835091423386
man,0.004620140840782404
cold,0.004617439880016822
place,0.004609624692589837
queen,0.004584043190341435
sky,0.0044530001629701195
tonight,0.0044244113972375715
hair,0.004394168073816719
bread,0.004371465098088924
father,0.00436463305397302
greataunt,0.004350030423035865
fish,0.004347097801943913
stop,0.004332606647962184
stay,0.004328636383106314
floor,0.004197485761967413
hadnt,0.0041962548645433665
cow,0.004158393783986134
doll,0.004157662054278201
daughter,0.004146851842964203
