term,weight
dog,0.03150213523410575
shiloh,0.03102452285244202
dont,0.027571006614488712
dad,0.024713097278135573
judd,0.024150892706760935
tell,0.02202990702496218
im,0.018190031837791085
want,0.014604924618857604
look,0.013019857971467617
think,0.012743400608581958
way,0.012421110907081862
right,0.011189743452792738
david,0.010886848559918273
time,0.010881677852351293
day,0.010779452731828882
head,0.009782057270478147
lynn,0.008770687902812989
chapter,0.008464328899637242
ill,0.00845906724374141
thing,0.00845029737586229
hill,0.008315885654176286
marty,0.008228842285654974
house,0.008142034843050486
dara,0.008087451729595902
ask,0.008014472564984002
id,0.007962545640454814
home,0.007445485179690184
work,0.006849653411481131
hand,0.006842595364974011
didnt,0.006651516564815782
turn,0.006495349838821577
hell,0.006419605302909382
eye,0.006412754457268313
em,0.006238145343484486
becky,0.006180241031676301
deer,0.006046023048712843
start,0.006040096523117186
feel,0.005975048596446131
face,0.005890894940397015
wont,0.005828332956894066
place,0.005646161978755499
porch,0.0055668631026660744
kind,0.005561045333120502
figure,0.005557320092882336
stop,0.00550549455267425
hear,0.0055028606673562745
doc,0.005483893156031233
eat,0.00547207560625536
boy,0.0054610766083224545
sure,0.005301156317652759
somebody,0.0052609609756928835
road,0.00525274097809331
aint,0.005251204917778372
life,0.005134672680864143
shoot,0.005134542042278041
told,0.0050027085534956476
answer,0.004977236830108387
wood,0.004906153023750787
try,0.004866661180891814
arm,0.004793849275740719
pull,0.004793038113391403
leg,0.004782483288046543
night,0.004779832443584295
money,0.004754630520933361
sit,0.00473372346936127
howard,0.004605109516970159
jeep,0.004585637362776263
lie,0.004562612869209472
hurt,0.00447005068643519
ma,0.004458768019359372
mouth,0.004453155213265688
morning,0.004430709380526217
mr,0.0043922260632169394
saw,0.004341516098564379
sound,0.004325219486384434
mean,0.004248852100742572
lick,0.004213747983057752
wasnt,0.004167782713059339
walk,0.0041661610165195226
pay,0.0041447968070278925
man,0.004065246424326541
mind,0.004054821354032388
rabbit,0.003929191483646188
beagle,0.0038883295578396606
table,0.003809354736739397
week,0.0037993500718011015
till,0.0037464361542741353
hour,0.0037262794103240897
tail,0.003722799540689531
door,0.0037161563828937
room,0.003714619529188459
laugh,0.003709389906756579
oh,0.003700966902950558
cause,0.0036380674338245727
half,0.0036083567238472543
set,0.003607255685699139
kitchen,0.0034981264219693725
folk,0.003474338563349253
yard,0.00338978390986236
stick,0.003368670250205517
