term,weight
april,0.025576840326239407
melanie,0.017353969693743986
marshall,0.013122521561203644
thing,0.010650172426698154
toby,0.010333035919283935
time,0.00993851346100997
egypt,0.0088639502293042
didnt,0.00779353173537864
right,0.007543164539303632
day,0.007428143936708749
way,0.007401480952633256
professor,0.006770034404711218
think,0.006413205270377883
girl,0.005931558644221817
wasnt,0.0055998303492478625
game,0.005334865677919282
mr,0.005115654240527641
school,0.005011714663694561
look,0.004896755565139868
home,0.004840267169785554
dont,0.004824092463950312
thought,0.004617769099273372
security,0.004569849644347101
caroline,0.004533249547596348
oracle,0.004383165019728872
sure,0.0043681715168541755
question,0.004320224903134539
eye,0.003964628128773863
kid,0.0038921121788814
paper,0.0038116904666803298
lot,0.0038054766722420337
tell,0.0037752167998138207
head,0.0036763040671330864
man,0.003655549471979921
altar,0.0036524900721960477
course,0.003649845387487268
idea,0.0035815993161995236
set,0.0033852216580999355
store,0.003253507274380247
william,0.0031853120667770956
kind,0.003119788453886647
sort,0.003090609126550645
ross,0.003084465098950059
hand,0.0030720195730454015
temple,0.003060911877689003
told,0.0030106400577735995
boy,0.0029789544278469747
yard,0.0029764757516601674
ceremony,0.00297607185981925
hadnt,0.002954007165598367
wouldnt,0.002946591661488525
stuff,0.0028188807120058707
neighborhood,0.002817121313026512
mother,0.002796091904744679
voice,0.0027674964053297723
door,0.002706340891252417
mind,0.0026780849917700175
fence,0.002675831264819097
everybody,0.0026734997750997233
god,0.00263923400775965
face,0.0026359613686922634
minute,0.002634320553103444
jancy,0.0026220513082937133
apartment,0.0026112807368712083
left,0.0026014490498970835
answer,0.0025800088445908772
bit,0.0024745884165608702
fact,0.0024417996320595116
help,0.002423865605136275
book,0.002415957169205384
okay,0.002405592326714528
mean,0.002361642390137742
read,0.0023550674816443214
im,0.002295230627773971
night,0.002260331015170513
floor,0.0022430725302672364
afternoon,0.0022089991106503206
rest,0.002198704312856473
year,0.0021841123787540574
stood,0.0021840357182862577
play,0.002183759121077533
room,0.0021798775025921673
place,0.002151894573217434
moment,0.002147153152800187
felt,0.0021385705614349734
heard,0.0021042328914859516
hair,0.0020916578926731804
yeah,0.0020290674959033052
want,0.0020105653991935326
sat,0.002004055807153855
window,0.0019891997869151213
matter,0.001983529088701339
thoth,0.0019503349053518744
strange,0.0019214892232990964
work,0.0019175489643846325
letter,0.0019170057402105515
dorothea,0.0018995868663432287
box,0.0018948671500060505
secret,0.0018569863694916774
talk,0.0018561741817532283
