term,weight
bilbo,0.018102218041117467
dwarf,0.013246267257475977
mountain,0.011552933533815635
time,0.010720509353610264
thorin,0.010647945975722405
goblin,0.009673333178588943
gandalf,0.008391893669345743
day,0.0077345519485754665
way,0.007719757632039728
hobbit,0.0071597617940159005
dark,0.006865070656602303
light,0.006818563346981478
thought,0.006577320477854419
thing,0.0065259325002291
door,0.006434967185240253
tree,0.006390268535925864
dont,0.005971050865042529
dragon,0.005733259130920479
end,0.005481524392725057
night,0.005460362517577276
water,0.005327555477982747
river,0.005295076105002304
eye,0.005267285188483727
round,0.005202643505465587
left,0.005168897511479033
king,0.005106099423112447
gollum,0.005085748070097338
think,0.005078504259837558
heard,0.0050665810473780855
head,0.004867532797000612
stone,0.004801718597320409
right,0.004716551101960033
forest,0.004623530609358191
valley,0.004436915730147278
wizard,0.0042959620489664094
path,0.0042837729315320094
elf,0.004250210623436503
hand,0.004175824839178846
place,0.004166656916501877
saw,0.0041635936784490835
smaug,0.004094618191846706
look,0.003995184102987332
ring,0.003971999542137917
gate,0.0039585376802304
land,0.003876038997407323
pony,0.003836849808773468
foot,0.0038191037151461163
gold,0.0038043957871044137
course,0.0037902692896808966
friend,0.0037698451718694483
help,0.003768567326477087
balin,0.0037538725723635143
mr,0.0036488451685462147
hall,0.0036370792625835457
hill,0.003479678370664696
beorn,0.0034691506772355505
rock,0.003311290400454161
till,0.003295050937943322
sword,0.0032794432005626714
lake,0.0032519414978835486
sat,0.0032357343027646633
tell,0.00318321651954671
song,0.0031671226156091714
spider,0.0031663107804856486
wall,0.0031659194432086856
tunnel,0.0030796653150880005
bard,0.003073581342472956
bombur,0.0030548994655395204
wood,0.003027938497213409
voice,0.0030078700012787524
treasure,0.0029905913013674665
cold,0.0029825695398748024
brought,0.0029729173922535953
wind,0.00296477761224321
morning,0.0029352484861456846
sun,0.002913268254167036
moment,0.002901101133028415
house,0.0028903994744271058
adventure,0.0028156530390085243
edge,0.002804744597566645
shadow,0.0027883368758711137
moon,0.0027709810193843943
fili,0.0027552912308429407
word,0.0027547291277325355
lay,0.0027422632492661706
hope,0.002727587003528529
hear,0.002717998289837651
branch,0.002693596287402958
road,0.002673293073534279
eagle,0.002655664956954036
air,0.002598699397751708
deep,0.00257704597031778
master,0.0025658491650653926
north,0.0025586164597823286
heart,0.0025492173763175113
felt,0.0025177329579247824
caught,0.002506897974307008
barrel,0.0025038786680606443
feel,0.0025009641791139737
guess,0.0024844783843582514
