term,weight
mr,0.01982650289319527
olinski,0.013795584434657046
julian,0.010938512380104286
ginger,0.009527211456566476
nadia,0.009268052782491387
noah,0.009250778551090124
ethan,0.008815534397264213
margaret,0.007486792888072505
time,0.007288328440695442
grandpa,0.007209224072747197
mother,0.00655581272704829
day,0.006555168180610206
soul,0.0061911722362941
dad,0.006047551592699806
turtle,0.006047210825867047
think,0.005912572947809646
school,0.005801622295550098
thought,0.005656973167406233
room,0.005574081939373004
way,0.005568486728334762
singh,0.005506846628838158
told,0.005048497988097355
tell,0.0050407839175223255
house,0.004797566876342719
answer,0.004740281667607366
epiphany,0.004645660541786176
team,0.00463469667634574
question,0.004614092722355128
table,0.004492573630482594
dont,0.004430146462219521
didnt,0.004345606799761
tea,0.004280065438082306
bus,0.0042534322972726645
thing,0.004249131446145001
place,0.0041979967536273114
dog,0.0041491058190552535
knapp,0.003966070572510245
izzy,0.0039185283405053445
father,0.0038992944794119097
year,0.003801472942797195
walk,0.0037940082260145744
sillington,0.0037917482162105978
fact,0.003636005537007783
dr,0.0035921489704994515
mean,0.0035631148044784934
seat,0.0034524741543424694
right,0.003330129441933362
grade,0.003320041592178314
sat,0.0031752515933022216
stood,0.003169805399004496
hand,0.003121487255438717
want,0.0031087532399087323
home,0.0029829464691272026
word,0.002964986588312025
man,0.0029339550955945703
left,0.002846263695792718
diamondstein,0.0027637822764359885
book,0.0026987963179772056
look,0.002685925867809068
stage,0.0026784944411419346
world,0.002675962842079639
grandma,0.002655602778641234
gershom,0.002635191412791786
florida,0.002619574965244623
saw,0.0025928151694410615
eye,0.002562421152388263
audience,0.0025320441067417437
sea,0.002484027852138409
york,0.0024607811315276685
arnold,0.002447605154906278
wedding,0.0024368423541817753
rohmer,0.00241440565285616
morning,0.0023798250395412356
note,0.0023436699639997416
tillie,0.0023333616564473305
village,0.002329610406839118
draper,0.0023186979727501376
life,0.002313529532920078
century,0.002271442159674931
allen,0.002221114074788131
foot,0.0022127069730119367
gift,0.002205446582806814
door,0.002194708131591632
potter,0.002174575869739356
froelich,0.0021671276724116164
smile,0.0021636071070129663
kid,0.0021063286811356264
treat,0.002098437616729064
invitation,0.002077728403173008
wagon,0.002066726414512548
need,0.0020651487360566667
light,0.0020649760530509825
ink,0.0020270396446172736
minute,0.001987159607191976
saturday,0.0019690866146701664
heard,0.001966302371883306
ham,0.001961663406257456
ask,0.0019577826875852074
window,0.001946600814765773
middle,0.0019367239391160816
