term,weight
mom,0.020349317201451965
school,0.013903636309351814
dont,0.012821273673900499
kid,0.012357588079467238
didnt,0.012042518747427665
jack,0.011844154002118353
august,0.01149161436751939
okay,0.010741285207826912
im,0.01036409091998035
mr,0.010025541595024084
auggie,0.009981592143140107
dad,0.009748452591394311
want,0.009360129469780995
think,0.009211066543414595
thing,0.009197043801632394
julian,0.009126866532805571
face,0.009062744430904433
time,0.009054864125071803
right,0.008668834891673482
look,0.008664172212213625
way,0.008487569300892775
tell,0.008349880004135384
kind,0.008338224339334625
yeah,0.007716880095182196
day,0.007270128407778307
tushman,0.00712851366062562
hand,0.00677711520020388
told,0.006519672027436084
year,0.006508150227800405
head,0.0064131940148452644
summer,0.006373493247184066
room,0.006076649328651765
mean,0.006036959506365037
youre,0.0058195507800905336
wasnt,0.0056966510246034855
thought,0.005600082873407674
friend,0.0052629252570429025
oh,0.005197408986497949
lot,0.004930534157514807
door,0.004893385279518748
parent,0.004871716573513194
charlotte,0.004794573992437602
home,0.0046481704251003265
saw,0.004333057057800584
class,0.00431181586295781
guy,0.004182443946419943
night,0.004174513443176673
felt,0.0041303828192658185
girl,0.004118454643746509
hey,0.0039989712877127204
stuff,0.003922499449010544
eye,0.00391416625314967
daisy,0.0037964594262548754
miranda,0.0037404565608881793
teacher,0.0036929750446540403
talk,0.0036798694071429644
course,0.0036607617191361237
heard,0.003649776296969645
play,0.0036172610726569014
table,0.003599806785871843
hear,0.003535017764186122
id,0.0035204715889012037
guess,0.0035027737768956214
henry,0.0034761893922385895
sure,0.003463666289716516
love,0.003436618489109757
ask,0.00341232949041888
ear,0.0033697387506219523
sorry,0.0032995006044148818
boy,0.0032961597665440586
picture,0.003222928846326237
doesnt,0.003157791695525474
desk,0.0030063366316044992
cool,0.002962362838878007
costume,0.0029358487207563426
bed,0.00293470853695339
feel,0.002914046408810783
hearing,0.0029016942837748138
sat,0.0028004718504738625
grade,0.00278636849493501
word,0.0027779638772326
ill,0.002766086886731197
world,0.002755130555494669
left,0.0027317660738440264
bit,0.002730752762543906
halloween,0.0027284126977906446
mile,0.0026872107815365765
justin,0.002665106465019646
minute,0.0026363782270553506
war,0.002632242734197432
middle,0.002589753031876608
mad,0.0025706261775683944
need,0.002527054963614702
fine,0.0025067746268202778
mouth,0.002500596227479643
stop,0.0024695855941779085
sit,0.00244940949827852
dude,0.0024305008570511297
life,0.002409326032951531
hang,0.002394605913959579
