"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"aardvark","14","1.68","4.68","6.26","2.41","4.27"
"abandon","6","2.43","2.54","2.84","3.73","3.32"
"abdomen","6","2.58","4.7","5.43","3.68","5.15"
"abdominal","6","2.25","4.28","4.48","3.5","5.32"
"abduct","10","2.32","2.88","2.42","5.9","2.75"
"abduction","10","2.44","3.07","2.05","5.33","3.02"
"abide","8","2.19","1.68","5.52","3.26","5.33"
"abiding","12","2.07","2.07","5.57","3.59","6.6"
"ability","2","2.33","1.81","7","4.85","6.55"
"abject","14","1.2","1.67","4","3.94","4.35"
"ablaze","2","2.03","3.82","5.15","6.75","4.58"
"able","2","2.44","2.38","6.64","3.38","6.17"
"abnormal","6","2.44","2.14","3.53","4.48","4.7"
"abode","12","1.92","3.92","5.28","2.9","5.05"
"abolish","6","2.24","2.19","3.84","4.18","4.65"
"abominable","12","2.27","1.89","4.05","5.45","4.62"
"abomination","12","2.07","2.23","2.5","5.9","3.8"
"abort","12","2.35","2.83","3.1","5.8","3.38"
"abortion","8","2.43","3.41","2.58","5.43","4.73"
"abracadabra","10","1.67","2.04","5.11","5.27","4.96"
"abrasive","12","1.96","3.03","4.26","6.1","4.94"
"abreast","13","1.6","2.23","4.62","4.61","5.19"
"abrupt","8","2.34","2.27","3.28","5.23","3.75"
"abscess","8","1.55","4.48","2.79","4","3.95"
"absence","4","2.25","2.31","3.86","4.3","4.24"
"absent","2","2.17","2.7","4.1","3.72","4.21"
"absinthe","14","1.29","4.3","3.53","3.7","3.95"
"absolute","8","2.26","1.81","5.43","3.48","5.58"
"absolution","14","2.01","1.78","6.58","3.38","5.75"
"absolve","14","2.02","1.85","4.58","3.53","4.82"
"absorb","6","2.58","3.11","5.5","4.27","5.62"
"abstain","12","1.88","2.38","4.4","3.1","6.08"
"abstinence","14","2.03","1.72","3.43","3.15","5.64"
"abstract","8","2.58","1.45","5.25","3.96","5.53"
"absurd","8","2.34","1.64","4.45","4.02","5.06"
"absurdity","10","2.25","1.25","4.06","4.7","5.37"
"abundance","8","2.32","2.21","6.67","4.72","5.66"
"abundant","8","2.19","2.83","7.55","4.21","5.81"
"abuse","6","2.45","2.71","1.53","6.21","2.9"
"abusive","8","2.26","2.55","2.05","5.27","3.58"
"abyss","12","2.25","3.07","3.9","4.85","4"
"academic","10","2.33","2.11","6.61","3.32","6.21"
"academy","6","2.44","4.29","5.32","3.77","5.38"
"accelerate","6","2.58","3.48","6.1","6.04","6.15"
