word,percentage_known,Prevalence,concreteness,AoA,valence,arousal,dominance
aardvark,0.96,1.68,4.68,14.00,6.26,2.41,4.27
abandon,1.00,2.43,2.54,6.00,2.84,3.73,3.32
abdomen,1.00,2.58,4.70,6.00,5.43,3.68,5.15
abdominal,0.99,2.25,4.28,6.00,4.48,3.50,5.32
abduct,0.99,2.32,2.88,10.00,2.42,5.90,2.75
abduction,1.00,2.44,3.07,10.00,2.05,5.33,3.02
abide,0.99,2.19,1.68,8.00,5.52,3.26,5.33
abiding,0.99,2.07,2.07,12.00,5.57,3.59,6.60
ability,1.00,2.33,1.81,2.00,7.00,4.85,6.55
abject,0.89,1.20,1.67,14.00,4.00,3.94,4.35
ablaze,0.98,2.03,3.82,2.00,5.15,6.75,4.58
able,1.00,2.44,2.38,2.00,6.64,3.38,6.17
abnormal,1.00,2.44,2.14,6.00,3.53,4.48,4.70
abode,0.98,1.92,3.92,12.00,5.28,2.90,5.05
abolish,0.99,2.24,2.19,6.00,3.84,4.18,4.65
abominable,0.99,2.27,1.89,12.00,4.05,5.45,4.62
abomination,0.99,2.07,2.23,12.00,2.50,5.90,3.80
abort,1.00,2.35,2.83,12.00,3.10,5.80,3.38
abortion,1.00,2.43,3.41,8.00,2.58,5.43,4.73
abracadabra,0.96,1.67,2.04,10.00,5.11,5.27,4.96
abrasive,0.98,1.96,3.03,12.00,4.26,6.10,4.94
abreast,0.95,1.60,2.23,13.00,4.62,4.61,5.19
abrupt,1.00,2.34,2.27,8.00,3.28,5.23,3.75
abscess,0.94,1.55,4.48,8.00,2.79,4.00,3.95
absence,0.99,2.25,2.31,4.00,3.86,4.30,4.24
absent,0.99,2.17,2.70,2.00,4.10,3.72,4.21
absinthe,0.91,1.29,4.30,14.00,3.53,3.70,3.95
absolute,0.99,2.26,1.81,8.00,5.43,3.48,5.58
absolution,0.98,2.01,1.78,14.00,6.58,3.38,5.75
absolve,0.98,2.02,1.85,14.00,4.58,3.53,4.82
absorb,1.00,2.58,3.11,6.00,5.50,4.27,5.62
abstain,0.97,1.88,2.38,12.00,4.40,3.10,6.08
abstinence,0.98,2.03,1.72,14.00,3.43,3.15,5.64
abstract,1.00,2.58,1.45,8.00,5.25,3.96,5.53
absurd,1.00,2.34,1.64,8.00,4.45,4.02,5.06
absurdity,0.99,2.25,1.25,10.00,4.06,4.70,5.37
abundance,0.99,2.32,2.21,8.00,6.67,4.72,5.66
abundant,0.99,2.19,2.83,8.00,7.55,4.21,5.81
abuse,1.00,2.45,2.71,6.00,1.53,6.21,2.90
abusive,0.99,2.26,2.55,8.00,2.05,5.27,3.58
abyss,0.99,2.25,3.07,12.00,3.90,4.85,4.00
academic,0.99,2.33,2.11,10.00,6.61,3.32,6.21
academy,1.00,2.44,4.29,6.00,5.32,3.77,5.38
accelerate,1.00,2.58,3.48,6.00,6.10,6.04,6.15
acceleration,0.99,2.17,2.97,6.00,6.19,6.73,5.76
accelerator,1.00,2.58,4.32,6.00,5.63,5.00,6.65
accent,0.99,2.11,3.26,6.00,6.48,4.95,5.36
accept,0.99,2.31,3.03,2.00,6.39,2.80,5.94
acceptable,1.00,2.34,1.93,8.00,6.59,3.65,6.58
acceptance,0.99,2.12,2.21,8.00,6.84,4.30,6.49
access,1.00,2.44,2.71,10.00,6.68,5.30,6.89
accessible,1.00,2.44,1.80,10.00,6.68,3.20,6.58
accessory,0.99,2.23,4.10,6.00,5.35,4.22,5.83
accident,1.00,2.44,3.26,2.00,2.55,4.93,3.00
accidental,0.99,2.32,2.17,4.00,3.46,4.00,3.41
acclaim,0.98,1.97,2.04,13.00,6.10,3.95,5.77
accommodate,0.99,2.23,1.86,6.00,6.35,3.00,6.27
accommodation,1.00,2.44,2.96,8.00,6.76,4.72,6.00
accompany,1.00,2.58,3.07,6.00,5.47,3.85,5.63
accomplice,0.99,2.17,3.34,8.00,4.60,4.50,5.20
accomplish,0.99,2.18,2.33,6.00,7.45,5.16,7.27
accomplishment,1.00,2.44,2.50,6.00,8.05,4.96,6.50
accord,0.98,2.05,1.57,10.00,6.38,2.85,5.64
accordion,0.98,1.89,4.86,4.00,5.26,2.94,5.21
account,1.00,2.33,3.08,2.00,5.39,3.76,5.06
accountability,0.99,2.18,1.55,12.00,4.89,3.70,6.55
accountable,1.00,2.58,2.21,6.00,5.70,4.20,5.57
accountant,1.00,2.34,4.41,4.00,5.19,3.81,5.72
accounting,0.99,2.32,3.27,6.00,4.42,3.68,4.48
accumulate,0.99,2.32,3.00,6.00,6.33,2.73,6.15
accuracy,1.00,2.33,1.85,8.00,6.32,3.33,6.74
accurate,1.00,2.33,1.90,8.00,7.42,4.35,6.47
accursed,0.91,1.34,1.93,8.00,3.21,5.33,4.13
accusation,0.99,2.14,2.38,8.00,3.38,5.48,3.62
accuse,0.99,2.09,2.25,4.00,2.68,5.32,4.00
ace,0.99,2.23,3.92,6.00,6.37,4.64,6.61
acetylene,0.82,0.91,3.58,12.00,4.11,3.67,4.70
ache,0.99,2.17,3.43,2.00,3.27,4.30,4.00
achieve,0.99,2.23,2.29,4.00,7.75,4.70,6.61
achievement,1.00,2.44,2.37,6.00,7.28,5.57,7.17
achy,0.93,1.46,2.96,4.00,3.15,4.48,4.62
acid,1.00,2.33,4.25,2.00,3.26,4.77,4.26
acknowledge,1.00,2.58,2.03,8.00,6.43,3.26,6.11
acne,0.99,2.16,4.89,6.00,2.18,4.47,3.44
acorn,0.98,1.91,4.96,2.00,5.85,4.42,4.77
acoustic,0.99,2.18,3.28,10.00,7.10,4.00,5.79
acoustics,0.99,2.31,3.12,12.00,6.33,3.19,5.86
acquaintance,0.99,2.26,3.41,8.00,5.58,3.24,5.29
acquire,0.99,2.18,2.93,6.00,5.50,4.86,7.00
acquisition,0.99,2.06,2.60,12.00,5.00,4.36,5.93
acquit,0.92,1.37,2.13,10.00,5.60,4.56,5.45
acquittal,0.95,1.63,2.38,10.00,6.19,4.95,5.03
acre,0.99,2.25,4.18,4.00,5.53,2.73,4.94
acrobat,0.99,2.26,4.46,4.00,6.00,4.90,5.42
acrylic,0.99,2.18,4.31,13.00,5.52,3.73,5.42
act,1.00,2.58,2.46,2.00,5.64,4.19,6.11
action,1.00,2.41,2.86,2.00,6.00,6.19,6.17
activate,1.00,2.34,2.97,6.00,5.70,3.78,6.28
active,1.00,2.58,3.32,4.00,6.47,5.62,6.32
activist,1.00,2.43,3.34,12.00,6.24,5.26,5.86
activity,0.99,2.26,2.72,8.00,6.21,4.86,6.45
actor,1.00,2.43,4.57,2.00,6.15,4.35,5.64
actress,0.99,2.26,4.54,2.00,5.42,5.43,4.65
actual,1.00,2.34,2.22,4.00,6.22,2.75,5.54
actuality,0.99,2.10,1.96,8.00,5.40,5.55,5.24
acupuncture,0.99,2.18,3.83,8.00,4.81,4.90,4.77
acute,0.99,2.33,1.92,6.00,5.10,5.09,5.11
ad,0.96,1.74,4.46,6.00,4.11,3.33,5.18
adage,0.89,1.20,1.86,14.00,5.55,3.38,5.13
adamant,0.96,1.70,1.65,12.00,5.45,5.74,6.38
adapt,1.00,2.58,2.41,8.00,5.84,3.90,5.75
adaptation,1.00,2.44,2.04,8.00,5.82,3.55,6.04
add,1.00,2.58,3.00,2.00,6.23,4.00,6.79
addict,1.00,2.58,3.14,10.00,2.86,5.33,2.74
addicted,1.00,2.58,2.13,8.00,2.89,4.77,2.84
additional,1.00,2.58,2.43,8.00,6.15,3.61,4.95
address,1.00,2.33,3.89,2.00,6.11,3.05,4.89
adept,0.96,1.66,2.23,14.00,6.14,4.17,6.50
adequate,0.99,2.20,1.97,8.00,4.70,3.64,6.89
adhere,0.99,2.17,2.62,12.00,5.17,3.52,3.90
adhesive,1.00,2.44,4.35,6.00,5.84,3.20,4.88
adjacent,1.00,2.42,3.63,10.00,5.15,2.78,4.27
adjective,1.00,2.58,2.43,4.00,5.95,3.64,6.11
adjourn,0.95,1.64,2.54,6.00,5.50,3.15,5.75
adjust,0.99,2.17,2.93,2.00,5.76,3.00,6.00
adjuster,0.97,1.77,3.23,6.00,4.25,3.50,5.84
adjustment,1.00,2.34,2.81,2.00,5.53,4.59,4.53
administer,0.99,2.07,2.53,8.00,4.40,3.86,6.33
administration,1.00,2.45,2.78,6.00,4.45,3.23,4.77
administrative,1.00,2.34,2.14,8.00,4.79,3.21,5.90
administrator,0.99,2.10,3.89,6.00,5.32,4.74,5.48
admirable,1.00,2.58,1.81,6.00,7.00,4.57,5.81
admiral,1.00,2.58,4.11,4.00,4.80,4.05,5.68
admiration,1.00,2.44,1.86,6.00,7.58,5.52,6.11
admire,1.00,2.35,2.04,2.00,7.35,5.00,7.33
admirer,0.99,2.32,2.93,4.00,7.05,6.00,6.27
admissible,0.97,1.87,1.88,8.00,5.16,2.90,6.21
admission,1.00,2.44,2.83,2.00,5.91,3.69,5.54
admit,0.99,2.32,2.32,4.00,5.56,3.35,4.56
admittance,0.99,2.25,2.26,8.00,6.29,3.60,5.96
adobe,0.97,1.86,4.19,4.00,5.25,3.89,5.55
adolescence,0.99,2.13,2.81,10.00,6.00,5.10,4.44
adolescent,0.98,2.02,3.48,8.00,5.38,4.20,4.00
adopt,1.00,2.42,2.36,4.00,6.90,4.71,5.45
adoption,1.00,2.58,3.03,4.00,6.68,4.82,5.62
adorable,0.99,2.22,1.86,4.00,7.40,4.66,6.83
adoration,0.99,2.21,2.19,8.00,6.47,4.36,6.54
adore,1.00,2.33,2.34,2.00,7.37,5.96,6.26
adrenalin,0.92,1.39,3.17,12.00,6.33,5.05,4.85
adrift,0.98,1.91,2.71,6.00,4.36,3.19,4.09
adult,1.00,2.58,4.40,2.00,5.90,4.36,6.46
adulterer,0.98,1.94,2.96,12.00,2.77,5.68,3.20
adultery,0.99,2.30,2.79,10.00,2.81,6.42,3.33
adulthood,1.00,2.33,2.50,2.00,5.05,4.28,6.11
advance,1.00,2.43,2.57,4.00,6.11,4.62,6.12
advanced,1.00,2.34,1.83,4.00,6.14,3.83,6.96
advancement,1.00,2.34,2.10,6.00,7.47,5.81,6.38
advantage,1.00,2.42,2.00,8.00,6.71,3.95,7.19
advantageous,0.98,1.97,2.07,6.00,6.79,5.70,6.22
adventure,1.00,2.42,2.59,2.00,7.40,6.36,6.36
adventurer,0.99,2.09,3.73,6.00,7.00,5.27,5.83
adventurous,1.00,2.44,1.95,6.00,7.37,6.67,5.71
adversary,0.99,2.14,2.93,13.00,4.55,4.41,5.00
adverse,1.00,2.34,2.23,12.00,3.68,3.89,3.35
adversity,0.99,2.10,1.44,14.00,4.26,3.82,4.63
advertise,0.99,2.29,2.81,2.00,5.16,4.29,5.74
advertisement,0.99,2.32,3.77,4.00,4.30,4.14,5.84
advice,1.00,2.58,2.73,2.00,5.78,3.05,5.83
advisable,0.99,2.25,1.93,6.00,5.62,4.36,5.86
advise,0.99,2.25,2.03,4.00,5.44,3.38,6.41
advisement,0.90,1.28,2.52,14.00,4.55,4.04,5.92
adviser,0.96,1.75,3.67,6.00,5.68,3.36,6.18
advisory,1.00,2.43,2.50,6.00,4.95,4.05,4.19
advocate,1.00,2.43,2.72,12.00,5.25,4.59,7.26
aerial,0.99,2.12,3.04,6.00,6.04,3.67,5.17
aerospace,0.98,1.90,3.19,12.00,5.79,4.52,5.17
aesthetic,0.99,2.13,2.33,12.00,5.43,2.88,5.50
affair,1.00,2.44,2.45,8.00,3.10,5.40,5.89
affect,0.99,2.26,1.93,6.00,5.65,3.61,6.39
affection,1.00,2.43,2.22,6.00,7.89,5.64,6.60
affectionate,0.99,2.26,2.28,6.00,7.23,4.77,6.90
affidavit,0.91,1.30,4.00,10.00,4.38,3.73,4.04
affiliation,1.00,2.34,1.93,10.00,5.32,3.90,5.30
affirmation,0.99,2.12,2.12,10.00,5.95,3.95,6.53
affirmative,0.99,2.32,1.93,10.00,5.94,3.64,6.78
affliction,1.00,2.33,2.27,10.00,3.76,5.10,4.17
afford,1.00,2.42,1.83,2.00,6.56,4.33,6.44
affordable,1.00,2.42,2.10,2.00,7.52,4.11,6.16
affront,0.95,1.58,1.83,14.00,4.53,4.50,5.04
afloat,1.00,2.44,3.34,2.00,5.57,4.13,4.96
aforementioned,0.97,1.86,1.93,8.00,5.21,3.50,4.96
afraid,1.00,2.33,2.70,2.00,2.25,5.12,2.71
aftermath,0.99,2.24,1.97,12.00,4.29,5.38,4.23
afternoon,1.00,2.45,3.70,2.00,6.68,3.48,5.71
age,1.00,2.44,2.86,2.00,5.78,3.71,4.67
agency,1.00,2.35,3.87,6.00,5.14,3.17,4.89
agenda,0.99,2.11,2.66,10.00,5.05,3.62,5.36
agent,1.00,2.43,3.61,6.00,5.23,3.43,5.65
aggravate,0.98,2.02,2.26,10.00,2.55,5.90,4.85
aggravation,0.98,2.01,1.53,10.00,2.48,5.35,4.45
aggression,0.99,2.18,2.68,10.00,3.18,5.69,4.65
aggressive,1.00,2.44,2.54,6.00,3.08,5.87,5.49
aggressor,0.99,2.17,3.29,10.00,2.80,6.55,4.57
agile,0.99,2.18,2.31,12.00,5.95,4.95,6.09
agility,0.99,2.24,2.38,10.00,6.55,4.21,6.41
aging,0.98,1.90,2.88,6.00,3.00,3.80,3.06
agitate,0.98,1.92,2.93,10.00,3.36,5.82,4.55
agitation,0.99,2.19,2.33,10.00,2.84,4.75,3.29
aglow,0.88,1.17,2.29,6.00,5.84,4.83,5.59
agony,0.99,2.18,2.38,8.00,2.46,5.78,4.00
agree,1.00,2.58,2.31,2.00,7.17,3.62,6.94
agreeable,1.00,2.58,2.07,6.00,6.90,3.55,6.97
agreement,1.00,2.58,2.22,2.00,6.75,4.05,6.48
agricultural,0.99,2.14,3.29,4.00,5.50,3.55,5.74
agriculture,1.00,2.43,3.67,4.00,6.10,3.05,6.00
ahoy,0.97,1.87,2.00,2.00,5.58,3.95,5.45
aid,0.99,2.25,3.10,2.00,6.29,4.55,5.95
aide,0.97,1.80,3.59,10.00,5.60,4.00,7.05
ailment,0.99,2.07,2.93,6.00,3.00,3.68,3.14
aim,0.99,2.26,3.27,2.00,5.95,4.00,6.50
air,1.00,2.58,4.11,2.00,6.71,3.25,5.72
airborne,1.00,2.42,3.45,6.00,5.25,3.52,4.48
aircraft,1.00,2.44,4.40,4.00,6.30,4.86,5.71
airfield,0.98,2.04,4.70,2.00,5.74,4.38,4.82
airline,1.00,2.43,4.00,2.00,5.36,4.12,4.92
airplane,1.00,2.44,4.96,2.00,5.25,5.62,4.12
airport,1.00,2.35,4.87,2.00,6.00,5.50,5.79
airship,0.97,1.82,4.92,13.00,5.63,4.88,4.43
airstrip,0.99,2.12,4.68,6.00,4.76,3.83,5.10
airtight,0.98,1.89,3.42,6.00,5.10,3.30,4.76
airway,1.00,2.58,4.34,2.00,4.95,4.00,3.95
aisle,0.99,2.07,4.35,6.00,5.17,2.50,4.87
ajar,0.96,1.74,3.27,6.00,5.00,3.26,5.28
alabaster,0.92,1.40,3.81,13.00,5.50,3.95,5.35
alarm,1.00,2.58,4.47,2.00,3.86,6.85,6.58
alarming,1.00,2.58,2.07,6.00,3.52,6.50,4.05
albatross,0.96,1.68,4.81,12.00,5.68,3.09,4.91
albino,0.99,2.24,4.41,10.00,4.90,3.09,4.05
album,1.00,2.43,4.69,2.00,6.19,5.63,5.86
alcohol,1.00,2.44,4.76,4.00,4.11,5.17,4.00
alcoholic,0.99,2.17,3.37,2.00,2.49,5.48,3.27
alcoholism,1.00,2.43,2.93,4.00,2.00,5.00,3.00
alcove,0.94,1.53,4.08,12.00,5.50,3.32,5.33
ale,0.98,2.02,4.65,6.00,5.95,4.10,5.17
alert,1.00,2.33,2.59,4.00,5.38,5.14,6.58
alfalfa,0.90,1.28,4.69,6.00,4.79,3.67,5.73
algebra,0.99,2.16,3.14,6.00,5.40,4.60,4.54
algorithm,0.93,1.45,3.07,13.00,5.30,3.70,4.04
alias,0.99,2.10,2.86,10.00,5.00,4.71,5.94
alibi,0.97,1.77,2.57,6.00,4.16,4.50,5.17
alien,0.99,2.17,3.52,10.00,4.45,4.86,3.56
alienate,0.99,2.12,1.83,14.00,2.79,4.27,3.71
alienation,0.98,1.95,1.73,14.00,2.53,5.14,3.33
alight,0.92,1.36,2.96,12.00,5.67,3.86,5.88
align,0.99,2.18,2.79,13.00,5.95,3.32,5.95
alignment,0.99,2.17,3.26,10.00,6.00,3.92,6.32
alimony,0.95,1.61,3.08,8.00,3.86,3.09,4.32
alive,0.99,2.32,3.14,2.00,6.57,5.93,6.77
allegation,0.98,1.95,1.79,12.00,3.26,5.90,3.96
allegiance,1.00,2.44,1.77,6.00,5.80,5.17,7.05
allergic,0.99,2.20,2.55,6.00,3.00,5.40,3.81
allergy,1.00,2.44,3.68,6.00,2.90,3.90,3.50
alleviate,0.98,1.96,2.48,12.00,6.25,3.45,5.84
alley,0.99,2.19,4.82,2.00,4.17,4.08,4.63
alleyway,0.94,1.55,4.30,8.00,3.46,3.70,5.20
alliance,0.99,2.25,2.50,8.00,6.14,4.40,5.78
allied,0.99,2.18,2.38,10.00,5.95,3.38,5.40
alligator,0.99,2.17,4.96,2.00,4.23,5.36,4.10
allow,0.99,2.17,2.41,2.00,6.39,2.95,6.11
allowance,1.00,2.33,3.07,2.00,6.74,4.05,5.70
alloy,0.98,1.91,4.29,10.00,5.20,3.32,5.90
allure,0.98,2.04,1.92,13.00,6.90,4.25,5.77
alluring,0.98,2.02,2.07,10.00,6.74,4.35,5.86
ally,0.97,1.80,2.61,12.00,6.05,4.80,6.84
almanac,0.94,1.52,4.44,8.00,5.55,3.24,5.88
almighty,1.00,2.43,1.90,6.00,6.15,4.59,5.81
almond,0.99,2.32,4.71,4.00,6.05,2.89,6.46
aloha,0.93,1.46,2.59,6.00,7.10,3.82,6.33
alone,1.00,2.33,2.86,2.00,3.85,4.00,4.50
aloof,0.98,1.97,1.46,10.00,4.59,3.09,4.63
alpha,0.99,2.23,1.81,10.00,5.50,3.67,6.32
alphabet,1.00,2.34,4.31,2.00,5.95,3.15,5.79
alphabetical,0.99,2.16,3.07,2.00,6.32,3.00,6.14
alpine,0.99,2.13,3.70,4.00,5.84,3.52,5.74
altar,0.99,2.18,4.85,4.00,5.59,4.05,5.68
alter,0.99,2.19,3.07,8.00,4.57,4.17,5.57
alteration,1.00,2.43,3.21,8.00,5.05,4.05,6.15
altercation,0.99,2.08,3.21,14.00,3.61,5.62,4.40
alternate,1.00,2.44,2.43,6.00,5.15,3.48,5.20
alternative,1.00,2.58,2.46,12.00,5.33,3.61,6.33
altitude,0.99,2.08,2.96,6.00,5.27,4.15,5.46
aluminum,0.99,2.08,4.88,4.00,5.10,4.05,6.00
amateur,0.99,2.30,2.31,6.00,4.58,3.55,5.25
amaze,0.99,2.33,2.00,2.00,7.24,5.00,5.83
amazement,0.99,2.19,1.89,2.00,7.29,6.30,6.43
amazing,1.00,2.43,1.55,2.00,7.72,6.05,6.83
ambassador,0.99,2.17,4.28,8.00,5.50,3.91,6.20
amber,1.00,2.58,4.35,8.00,6.15,3.36,6.21
ambient,0.98,2.01,2.04,14.00,6.33,3.20,4.86
ambiguous,1.00,2.45,1.48,12.00,5.16,4.00,5.12
ambition,1.00,2.58,1.74,6.00,7.28,4.86,6.36
ambitious,1.00,2.44,1.81,6.00,6.33,5.76,5.88
ambulance,0.99,2.24,4.81,4.00,3.71,5.33,3.29
ambush,0.99,2.32,3.16,4.00,3.17,5.58,3.96
amend,0.98,1.96,2.32,8.00,5.85,3.06,4.96
amendment,0.99,2.31,2.44,6.00,5.60,3.50,4.77
amends,1.00,2.34,1.92,10.00,6.68,3.95,5.96
amiable,0.95,1.59,2.39,12.00,6.70,2.85,6.14
ammo,0.94,1.52,4.85,8.00,4.18,5.53,5.52
ammonia,0.99,2.16,4.44,8.00,3.74,3.00,3.83
ammunition,0.99,2.25,4.88,6.00,4.59,5.70,5.95
amnesia,1.00,2.35,3.61,6.00,3.43,5.04,3.08
amnesty,0.98,2.02,2.18,14.00,5.38,3.86,6.00
amount,0.99,2.19,2.74,2.00,5.42,3.53,5.39
amp,0.98,2.02,3.59,8.00,5.79,5.05,5.13
amphibian,0.99,2.31,3.77,8.00,5.40,3.35,5.42
amphibious,0.97,1.83,3.64,12.00,5.75,5.70,4.85
ample,0.98,1.92,2.50,8.00,5.89,3.28,6.04
amputate,1.00,2.43,3.90,8.00,2.10,5.43,3.00
amputation,1.00,2.58,3.76,8.00,1.84,4.86,2.85
amuck,0.80,0.82,1.68,14.00,4.00,4.41,3.74
amulet,0.96,1.70,4.00,13.00,5.75,3.95,5.79
amuse,1.00,2.44,2.57,6.00,7.10,5.17,6.80
amusement,0.99,2.23,2.07,4.00,7.00,4.82,6.59
anaconda,0.98,2.00,4.93,10.00,4.43,6.00,4.08
anagram,0.98,2.02,3.63,13.00,4.37,3.86,4.83
anal,0.99,2.25,3.30,12.00,4.00,4.29,4.45
analogy,0.99,2.23,1.61,14.00,5.24,3.95,5.33
analysis,0.99,2.27,2.56,8.00,5.25,3.74,5.95
analyst,1.00,2.43,4.23,8.00,5.00,3.24,4.76
