term,weight
jack,0.023979423
man,0.015748814
king,0.013572147
mr,0.012828649
time,0.012360941
pig,0.012324606
till,0.011360289
day,0.010822973
woman,0.010771944
mother,0.010499784
mouse,0.010324069
ill,0.010212614
house,0.009918952
lady,0.00967762
cat,0.009529895
door,0.009511548
giant,0.009241676
head,0.009187786
girl,0.008772616
ye,0.008413958
sat,0.008289501
home,0.008228422
bear,0.008130451
dear,0.008073975
night,0.007787531
boy,0.007718039
love,0.007670822
saw,0.007579312
father,0.007473139
wife,0.007280541
cap,0.007212784
rush,0.007089914
ran,0.007066651
brother,0.007025506
master,0.006932043
son,0.006911875
told,0.006796292
wont,0.006671394
hand,0.006543296
castle,0.006520929
fox,0.006485127
queen,0.006418714
world,0.006315828
end,0.006268475
morning,0.006236748
heard,0.006219423
fortune,0.006213427
oh,0.006152949
stick,0.006114775
heart,0.006061063
